file,original_name,source,role,md5,bytes
discarded_backup/4121nm_075mw1__02d65081.csv,4121nm_075mw1.csv,main backup,discarded acquisition,02d65081a504e5d6688430d6e774a28b,51553
discarded_backup/4121nm_075mw2__8b3cdfd4.csv,4121nm_075mw2.csv,main backup,discarded acquisition,8b3cdfd496eb2a72c96ab0fed808755c,51539
discarded_backup/4121nm_075mw3__6d7ac35f.csv,4121nm_075mw3.csv,main backup,discarded acquisition,6d7ac35ffd947a3708c520998868797f,51577
discarded_backup/4121nm_075mw4__83956a2a.csv,4121nm_075mw4.csv,main backup,discarded acquisition,83956a2a16c574eb17223e9eaf939032,51599
discarded_backup/4121nm_075mw5__ce5559df.csv,4121nm_075mw5.csv,main backup,discarded acquisition,ce5559df51617ecf9ee46606653ca8e6,51591
discarded_backup/4121nm_075mw6__01347f2b.csv,4121nm_075mw6.csv,main backup,discarded acquisition,01347f2be249993bc4fad739548229a6,51575
discarded_backup/4121nm_075mw7__11239e9b.csv,4121nm_075mw7.csv,main backup,discarded acquisition,11239e9b7274f8f6c705228e994bf4f7,51580
discarded_backup/4121nm_075mw8__c321666a.csv,4121nm_075mw8.csv,main backup,discarded acquisition,c321666a724233b3b2cbcd6f3c13ceb1,51591
discarded_backup/4121nm_075mw9__5a9fce36.csv,4121nm_075mw9.csv,main backup,discarded acquisition,5a9fce3689742113ee1f514b74c63076,51557
discarded_backup/4121nm_075mw_4__b5490fa6.csv,4121nm_075mw_4.csv,main backup,discarded acquisition,b5490fa63ecf628d5798cc4835d9967c,51862
discarded_backup/4121nm_075mw_7__dea1c512.csv,4121nm_075mw_7.csv,main backup,discarded acquisition,dea1c51202b25814417aad3704e073f0,51871
discarded_backup/4121nm_075mw_8__f879ba24.csv,4121nm_075mw_8.csv,main backup,discarded acquisition,f879ba242742905d63818215a8c5aebc,51928
discarded_backup/4121nm_125mw5__2acede0b.csv,4121nm_125mw5.csv,main backup,discarded acquisition,2acede0bfd656384a0586419f6378f71,52371
discarded_backup/4121nm_175mw3__7afa9e0f.csv,4121nm_175mw3.csv,main backup,discarded acquisition,7afa9e0f84dff763a9619a718cc73f8f,53029
discarded_backup/4121nm_225mw6__cdf0b163.csv,4121nm_225mw6.csv,main backup,discarded acquisition,cdf0b163bce9724e3f2049ac59a98bca,53343
discarded_backup/4192nm_075mw5__17646bc8.csv,4192nm_075mw5.csv,main backup,discarded acquisition,17646bc8b4502d94aa2918c1404f6065,52448
lineage_4192nm_225mw1/4192nm_225mw1 - Copy__f3ea23de.csv,4192nm_225mw1 - Copy.csv,main backup,degraded re-export,f3ea23de01fcdddd434643a86a373b51,39553
lineage_4192nm_225mw1/4192nm_225mw1__6948acbc.csv,4192nm_225mw1.csv,main backup,pristine original,6948acbcc35204d197ab8ed921ec74ce,53841
lineage_4192nm_225mw1/4192nm_225mw1__78c39fd8.csv,4192nm_225mw1.csv,RawData2,header-restored intermediate (analysed bytes modulo CRLF),78c39fd84eb4da6a3f66bad00724207d,39560
lineage_4192nm_225mw1/4192nm_225mw1copy__f3ea23de.csv,4192nm_225mw1copy.csv,main backup,degraded re-export,f3ea23de01fcdddd434643a86a373b51,39553
