t_s,ch1_div,ch2_div
-0.00075,0.3094,0.8118
0.00640,0.4122,0.8133
0.01356,0.7823,0.8168
0.02071,0.1655,0.8236
0.02787,0.1695,0.8349
0.03502,0.1695,0.8788
0.04217,0.1999,0.8979
0.04933,0.9051,0.9234
0.05648,1.2455,0.9438
0.06364,4.1370,0.9455
0.07079,4.1962,0.9470
0.07795,4.2699,0.9513
0.08510,4.2380,0.9847
0.09225,4.1997,1.0159
0.09941,4.1565,1.0108
0.10656,1.2871,1.0089
0.11372,1.2853,1.0108
0.12087,1.2926,1.0126
0.12802,1.3084,1.0220
0.13518,1.3309,1.0266
0.14233,1.3403,1.0266
0.14949,1.3596,1.0286
0.15664,1.3610,1.0305
0.16380,1.3821,1.0831
0.17095,1.3930,1.1441
0.17810,1.4227,1.3001
0.18526,1.4877,1.7351
0.19241,1.4710,2.0031
0.19957,1.4805,2.9560
0.20672,1.5034,3.4414
0.21387,1.5428,1.6076
0.22103,1.5499,1.0275
0.22818,1.5551,1.0266
0.23534,1.5744,1.0246
0.24249,1.5954,1.0246
0.24965,1.6138,1.0246
0.25680,1.6237,1.0266
0.26395,1.6619,1.0286
0.27111,1.6690,1.0286
0.27826,1.6879,1.0298
0.28542,1.7099,1.0305
0.29257,1.7323,1.0305
0.29972,1.7438,1.0305
0.30688,1.7557,1.0305
0.31403,1.7790,1.0305
0.32119,1.7813,1.0325
0.32834,1.8148,1.0325
0.33549,1.8187,1.0339
0.34265,1.8393,1.0345
0.34980,1.8443,1.0345
0.35696,1.8776,1.0345
0.36411,1.8837,1.0365
0.37127,1.8966,1.0384
0.37842,1.9291,1.0449
0.38557,1.9272,1.0522
0.39273,1.9593,1.0542
0.39988,1.9617,1.0522
0.40704,1.9951,1.0528
0.41419,1.9927,1.0621
0.42134,2.0473,1.0621
0.42850,2.0473,1.0621
0.43565,2.0868,1.0621
0.44281,2.1005,1.0640
0.44996,2.1301,1.0643
0.45712,2.1340,1.0621
0.46427,2.1340,1.0581
0.47142,1.2716,1.0581
0.47858,2.0607,1.0581
0.48573,2.2009,1.0634
0.49289,2.2127,1.0778
0.50004,2.2457,1.0814
0.50719,2.2523,1.0759
0.51435,2.2467,1.0812
0.52150,1.7094,1.0818
0.52866,1.1317,1.0818
0.53581,1.1330,1.0797
0.54297,2.0278,1.0832
0.55012,2.3606,1.0857
0.55727,1.6049,1.0837
0.56443,1.1448,1.0857
0.57158,1.1448,1.0802
0.57874,1.1312,1.0858
0.58589,1.1376,1.0942
0.59304,2.4539,1.1017
0.60020,2.4709,1.1405
0.60735,1.1842,1.1738
0.61451,1.9015,1.3621
0.62166,2.5401,1.7697
0.62882,2.5995,2.1215
0.63597,2.6266,2.5985
0.64312,2.5993,3.4527
0.65028,1.1507,4.1798
0.65743,2.4750,4.8969
0.66459,2.6384,1.0876
0.67174,1.1378,1.0818
0.67889,1.1330,1.0795
0.68605,1.1291,1.0699
0.69320,1.9231,1.0666
0.70036,1.1295,1.0640
0.70751,1.7656,1.0605
0.71466,1.1310,1.0601
0.72182,2.7955,1.0601
0.72897,2.8038,1.0562
0.73613,2.8237,1.0581
0.74328,1.1094,1.0581
0.75044,2.8588,1.0566
0.75759,1.9450,1.0522
0.76474,1.6229,1.0443
0.77190,2.8567,1.0444
0.77905,1.0963,1.0467
0.78621,1.1029,1.0373
0.79336,1.0798,1.0260
0.80051,2.9892,1.0227
0.80767,1.2387,1.0190
0.81482,1.0739,1.0187
0.82198,2.0670,1.0141
0.82913,2.0672,1.0037
