row_kind,construction,variant,source_run,environment,kappa_MHz_per_W,delta_chi2
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,0.0,0.0
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,0.25,0.0
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,0.5,0.46
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,0.75,1.32
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,1.0,2.53
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,1.5,6.13
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,1.54,6.46
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,2.0,11.15
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,2.62,19.67
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,3.5,36.54
profile_point,campaign_only_primary,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,5.0,80.8
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,0.0,0.0
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,0.25,4.81
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,0.5,6.09
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,0.75,9.2
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,1.0,12.89
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,1.5,18.44
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,1.54,18.83
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,2.0,24.15
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,2.62,32.71
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,3.5,49.57
profile_point,campaign_only_wing,pointwise_min,tpool1_2026-08-17,diagnostic_venv_not_record,5.0,93.83
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.0,32.16
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.25,10.86
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.5,9.17
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.75,5.3
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,1.0,2.35
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,1.5,0.86
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,1.54,0.0
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,2.0,1.87
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,2.62,6.74
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,3.5,21.77
profile_point,pooled_rerun,ascending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,5.0,88.38
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.0,0.0
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.25,1.13
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.5,1.05
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.75,1.5
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,1.0,2.67
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,1.5,5.21
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,1.54,6.08
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,2.0,10.49
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,2.62,20.27
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,3.5,39.8
profile_point,pooled_rerun,descending,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,5.0,112.54
profile_point,pooled_rerun,seeded,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.0,0.63
profile_point,pooled_rerun,seeded,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.25,0.0
profile_point,pooled_rerun,seeded,sat_probe_joint_2026-08-17,diagnostic_venv_not_record,0.5,0.2
