w0_um	T_C	P_mW	T_kin_C	s0_scale	onaxis_rabi_mhz	companion_mhz	bloch_width_mhz	width_fraction	effective_rabi_fraction	max_single_width_resid_sd	n_path	source
41.0	110.0	225.0	110.0	1.0	1.09623	0.32862	0.08128	0.2473	0.4888	0.084	2000	41_110_225.json
41.0	130.0	225.0	130.0	1.0	1.09623	0.32862	0.0809	0.2462	0.4877	0.15	2000	41_130_225.json
41.0	70.0	225.0	70.0	1.0	1.09623	0.32862	0.08266	0.2515	0.493	0.013	2000	41_70_225.json
41.0	90.0	225.0	90.0	1.0	1.09623	0.32862	0.0819	0.2492	0.4907	0.036	2000	41_90_225.json
42.38	110.0	225.0	110.0	1.0	1.026	0.28942	0.07357	0.2542	0.4967	0.073	2000	42.38_110_225.json
42.38	130.0	125.0	130.0	1.0	0.57	0.09182	0.02291	0.2495	0.4971	0.022	2000	42.38_130_125.json
42.38	130.0	225.0	130.0	1.0	1.026	0.28942	0.07322	0.253	0.4955	0.13	2000	42.38_130_225.json
42.38	130.0	225.0	130.0	0.0	1.026	0.28942	0.0732	0.2529	0.4954	0.129	2000	42.38_130_225_s0x0.json
42.38	130.0	225.0	-138.77	1.0	1.026	0.28942	0.08858	0.3061	0.5455	0.129	2000	42.38_130_225_tk-138.77.json
42.38	130.0	225.0	936.3	1.0	1.026	0.28942	0.0641	0.2215	0.4633	0.508	2000	42.38_130_225_tk936.3.json
42.38	70.0	225.0	70.0	1.0	1.026	0.28942	0.07484	0.2586	0.5009	0.011	2000	42.38_70_225.json
42.38	90.0	225.0	90.0	1.0	1.026	0.28942	0.07415	0.2562	0.4986	0.031	2000	42.38_90_225.json
45.0	110.0	225.0	110.0	1.0	0.91001	0.22957	0.06115	0.2664	0.5101	0.055	2000	45_110_225.json
45.0	130.0	225.0	130.0	1.0	0.91001	0.22957	0.06085	0.2651	0.5088	0.099	2000	45_130_225.json
45.0	70.0	225.0	70.0	1.0	0.91001	0.22957	0.06222	0.271	0.5145	0.008	2000	45_70_225.json
45.0	90.0	225.0	90.0	1.0	0.91001	0.22957	0.06164	0.2685	0.5121	0.023	2000	45_90_225.json
