case,quantity,value,err,unit,basis,note,status
beta_self_6s,anchored,3.497177537242604,0.3721004950845451,kHz per 1e12 cm^-3 at 403.15 K,Zameroski's measured 7S rate carried to 6S by the ratio of pair-coefficient differences and of exchange-branch factors,"THE ADOPTED VALUE. Quoted in prose as 3.50 +- 0.37 under LANGUAGE 8a.2, two significant digits on the bar with the value matching its decimals",ENVELOPE
beta_self_6s,first_principles,3.4905,,kHz per 1e12 cm^-3 at 403.15 K,the Lindholm-Foley impact width run directly on the 6S pair coefficient,"an independent route, not an independent bar: it carries the recipe's own absolute scale, which the anchored row divides out. It sits -0.02 of the adopted bar above it, which is the consistency and not a second measurement",ENVELOPE
beta_self_6s,rel_uncertainty,10.64,,per cent,the quadrature sum of the measured budget rows below,"10.64 per cent, of which 10.08 is the anchor measurement alone",ENVELOPE
beta_self_6s_mhz,anchored,0.003497177537242604,0.00037210049508454513,MHz per 1e12 cm^-3 at 403.15 K,the same number in the estimator's own units,what `rb5s6s.beta.fit_beta_self` returns and what `results/beta_self.csv` is compared against. The archive's fits sit 1.2 to 2.0 times above it,ENVELOPE
beta_self_7s,measured,5.6242,0.57,kHz per 1e12 cm^-3 at 403.15 K,"Zameroski 2014, 129 +- 13 kHz/mTorr (TABLE 3, the total), converted at the slope's effective temperature and carried to 403.15 K by T^0.3",the anchor. The only measured nS self-broadening rate in rubidium,CALIB
beta_self_7s,predicted,5.6148,,kHz per 1e12 cm^-3 at 403.15 K,the same recipe run on the 7S pair coefficient,the one place the recipe can be graded against an experiment,ENVELOPE
beta_self_7s,recipe_scale_error,-0.17,,per cent,"predicted over measured, minus one, both at 403.15 K","0.72 of the measurement's own bar. The anchor divides this out assuming it is common to 6S and 7S, and its n-dependence is the budget's first open term",ENVELOPE
budget,anchor_measurement,10.08,,per cent,measured by displacing that one input and reading beta,a row of the quadrature. See `vanderwaals.beta_self_budget` for what each displacement is and why it enters where it does,ENVELOPE
budget,anchor_conversion_temperature,2.51,,per cent,measured by displacing that one input and reading beta,a row of the quadrature. See `vanderwaals.beta_self_budget` for what each displacement is and why it enters where it does,ENVELOPE
budget,matrix_elements_2pc_differential,1.71,,per cent,measured by displacing that one input and reading beta,a row of the quadrature. See `vanderwaals.beta_self_budget` for what each displacement is and why it enters where it does,ENVELOPE
budget,exchange_branches,1.52,,per cent,measured by displacing that one input and reading beta,a row of the quadrature. See `vanderwaals.beta_self_budget` for what each displacement is and why it enters where it does,ENVELOPE
budget,ground_pair_truncation,0.28,,per cent,measured by displacing that one input and reading beta,a row of the quadrature. See `vanderwaals.beta_self_budget` for what each displacement is and why it enters where it does,ENVELOPE
budget,retracted_double_count_claim,5.00,,per cent,Zameroski's 5 per cent vapour-pressure(density) uncertainty,"RETRACTED the same day it was written. This record removed the term as a double count on 2026-09-15, reading his section 2.5 as putting it inside the +-11. It is not inside it: section 2.5 quotes 129 +- 11 and TABLE 3 quotes 129 +- 13, and sqrt(11^2 + 6.45^2 + 1.29^2) = 12.8 closes on the paper's own recipe, so the 5 per cent is the DIFFERENCE between the two bars. The source's total is adopted and the row is kept so the deletion cannot return",ARTIFACT
anchor_bar_one_sigma,gaussian_1.96,6.76,,per cent,the paper's stated composition solved for the fit half and divided by that t-factor,NOT ADOPTED. Recorded so the size of the conservatism is known: the adopted bar carries his 10.08 per cent whole,DIAGNOSTIC
anchor_bar_one_sigma,t_dof6_2.45,6.21,,per cent,the paper's stated composition solved for the fit half and divided by that t-factor,NOT ADOPTED. Recorded so the size of the conservatism is known: the adopted bar carries his 10.08 per cent whole,DIAGNOSTIC
