quantity,key,value,unit,status
integral,4207_up,0.05090,div_s,DIAGNOSTIC
height,4207_up,2.492,div,DIAGNOSTIC
t_centroid,4207_up,0.1990,s,DIAGNOSTIC
n_samples,4207_up,7,count,DIAGNOSTIC
integral,4192_up,0.08766,div_s,DIAGNOSTIC
height,4192_up,3.948,div,DIAGNOSTIC
t_centroid,4192_up,0.6430,s,DIAGNOSTIC
n_samples,4192_up,10,count,DIAGNOSTIC
integral,4154_up,0.06170,div_s,DIAGNOSTIC
height,4154_up,4.005,div,DIAGNOSTIC
t_centroid,4154_up,1.6932,s,DIAGNOSTIC
n_samples,4154_up,6,count,DIAGNOSTIC
integral,4121_up,0.01016,div_s,DIAGNOSTIC
height,4121_up,1.045,div,DIAGNOSTIC
t_centroid,4121_up,2.5277,s,DIAGNOSTIC
n_samples,4121_up,3,count,DIAGNOSTIC
integral,4207_down,0.02209,div_s,DIAGNOSTIC
height,4207_down,1.941,div,DIAGNOSTIC
t_centroid,4207_down,4.9633,s,DIAGNOSTIC
n_samples,4207_down,4,count,DIAGNOSTIC
integral,4192_down,0.02186,div_s,DIAGNOSTIC
height,4192_down,2.134,div,DIAGNOSTIC
t_centroid,4192_down,4.5995,s,DIAGNOSTIC
n_samples,4192_down,3,count,DIAGNOSTIC
integral,4154_down,0.03358,div_s,DIAGNOSTIC
height,4154_down,2.283,div,DIAGNOSTIC
t_centroid,4154_down,3.6124,s,DIAGNOSTIC
n_samples,4154_down,4,count,DIAGNOSTIC
integral,4121_down,0.00927,div_s,DIAGNOSTIC
height,4121_down,0.806,div,DIAGNOSTIC
t_centroid,4121_down,2.6657,s,DIAGNOSTIC
n_samples,4121_down,3,count,DIAGNOSTIC
pair_midpoint,4207,2.5811,s,DIAGNOSTIC
pair_midpoint,4192,2.6213,s,DIAGNOSTIC
pair_midpoint,4154,2.6528,s,DIAGNOSTIC
pair_midpoint,4121,2.5967,s,DIAGNOSTIC
apex_flank_fit,ch1,2.5944,s,DIAGNOSTIC
apex_argmax,ch1,2.6177,s,DIAGNOSTIC
flank_points_masked,ch1,70_of_547,count,DIAGNOSTIC
ratio_85_up,4192/4154,1.421,ratio,DIAGNOSTIC
ratio_85_up_min,5-8_mad,1.340,ratio,DIAGNOSTIC
ratio_85_up_max,5-8_mad,1.421,ratio,DIAGNOSTIC
ratio_85_down,4192/4154,0.651,ratio,DIAGNOSTIC
iso_pair_up,85/87,2.446,ratio,DIAGNOSTIC
iso_pair_up_min,5-8_mad,2.426,ratio,DIAGNOSTIC
iso_pair_up_max,5-8_mad,2.639,ratio,DIAGNOSTIC
predicted_ratio_85,7/5,1.400,ratio,DIAGNOSTIC
predicted_iso_pair,abundance,2.593,ratio,DIAGNOSTIC
