quantity,key,value,err,unit,status
n_multi_power_epochs,found,3.0000,,count; task brief asserted 5,DIAGNOSTIC
epoch_kappa_transition,23_993.4207nm,6.7444,2.9352,"MHz per W, transition axis; n=10, dP=50 mW, drift-prior-marginalised, multistart_agrees=True",DIAGNOSTIC
epoch_kappa_transition,28_993.4154nm,2.5350,1.7189,"MHz per W, transition axis; n=10, dP=50 mW, drift-prior-marginalised, multistart_agrees=True",DIAGNOSTIC
epoch_kappa_transition,33_993.4121nm,12.0485,3.7486,"MHz per W, transition axis; n=10, dP=50 mW, drift-prior-marginalised, multistart_agrees=True",DIAGNOSTIC
combined_kappa_transition,primary,4.7523,2.3715,"MHz per W, transition axis; inverse-variance + PDG inflation over 3 epochs, chi2_red=2.96",DIAGNOSTIC
kappa_ub95_m23,reference,0.6850,,MHz per W; echoed from results/stark_joint.csv for comparison,DIAGNOSTIC
kappa_pred,reference,1.5450,,MHz per W; echoed from results/stark_joint.csv for comparison,DIAGNOSTIC
diag_double_drift_prior,primary,4.4118,2.8838,MHz per W; drift prior sigma doubled to 0.018 MHz/min and refit,DIAGNOSTIC
diag_leave_one_out,drop_23,4.1878,3.6045,MHz per W; combined kappa_transition with epoch 23 dropped,DIAGNOSTIC
diag_leave_one_out,drop_28,8.7605,2.5746,MHz per W; combined kappa_transition with epoch 28 dropped,DIAGNOSTIC
diag_leave_one_out,drop_33,3.6099,1.8356,MHz per W; combined kappa_transition with epoch 33 dropped,DIAGNOSTIC
control_epoch,25_993.4207nm,-33.8187,24.0949,"MHz per W; single-power epoch, synthetic -50 mW step injected at true Delta-power=0 -- estimator false-positive check",DIAGNOSTIC
control_epoch,30_993.4154nm,-1.9716,4.1959,"MHz per W; single-power epoch, synthetic -50 mW step injected at true Delta-power=0 -- estimator false-positive check",DIAGNOSTIC
control_epoch,14_993.4192nm,0.0492,4.2688,"MHz per W; single-power epoch, synthetic -50 mW step injected at true Delta-power=0 -- estimator false-positive check",DIAGNOSTIC
control_epoch,34_993.4121nm,2.9716,3.1060,"MHz per W; single-power epoch, synthetic -50 mW step injected at true Delta-power=0 -- estimator false-positive check",DIAGNOSTIC
control_epoch,29_993.4154nm,-4.8132,1.7906,"MHz per W; single-power epoch, synthetic -50 mW step injected at true Delta-power=0 -- estimator false-positive check",DIAGNOSTIC
kappa_ub95_centre,primary,8.6535,,"MHz per W; one-sided 95% Wald bound on the combined centre-channel kappa (same construction as stark_joint.csv's kappa_ub95); quote this, not the combined point estimate -- see the verdict row",BOUND
verdict,case_3,3,,"case 3: not robust. Leave-one-out pulls range 1.16-3.40 sigma depending on which epoch is dropped, and a genuinely zero-signal control epoch reproduces a comparable (2.69 sigma) spurious pull from an injected fake power step. Reported as a BOUND, not a pull.",BOUND
