quantity,key,value,err,unit,note,status
estimator,definition,6,,MHz half-width,"self-centred windowed k2 (rb5s6s.cumulants.windowed_cumulants) at half-widths 3.25, 6, 12 MHz, a linear baseline through strips 30 to 40 MHz from the centre on each side, seeded on the committed QC peak position. every reading computed on 4001 and 2001 window points and refused beyond a relative disagreement of 0.0001: the largest disagreement admitted was 9.95e-05 and 62 trace-windows were refused. the bar of a cell is the block scatter over its repeats",DIAGNOSTIC
k2_w3.25,4121_T130_P25,2.708,0.058,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4121_T130_P25,6.659,0.079,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4121_T130_P25,,,MHz^2,"fewer than two traces admitted (0), so no scatter and no cell. 5 refused",DIAGNOSTIC
k2_w3.25,4121_T130_P75,2.714,0.010,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4121_T130_P75,6.524,0.041,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4121_T130_P75,13.62,0.12,MHz^2,"mean over 2 traces, the bar the block scatter. 3 refused",DIAGNOSTIC
k2_w3.25,4121_T130_P125,2.700,0.010,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4121_T130_P125,6.438,0.033,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4121_T130_P125,13.680,0.078,MHz^2,"mean over 4 traces, the bar the block scatter. 1 refused",DIAGNOSTIC
k2_w3.25,4121_T130_P175,2.6927,0.0050,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4121_T130_P175,6.403,0.012,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4121_T130_P175,13.581,0.038,MHz^2,"mean over 4 traces, the bar the block scatter. 1 refused",DIAGNOSTIC
k2_w3.25,4121_T130_P225,2.6812,0.0029,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4121_T130_P225,6.362,0.012,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4121_T130_P225,13.609,0.021,MHz^2,"mean over 4 traces, the bar the block scatter. 1 refused",DIAGNOSTIC
k2_w3.25,4154_T130_P25,2.766,0.010,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4154_T130_P25,6.596,0.094,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4154_T130_P25,,,MHz^2,"fewer than two traces admitted (0), so no scatter and no cell. 5 refused",DIAGNOSTIC
k2_w3.25,4154_T130_P75,2.690,0.016,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4154_T130_P75,6.383,0.052,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4154_T130_P75,13.678,0.098,MHz^2,"mean over 2 traces, the bar the block scatter. 3 refused",DIAGNOSTIC
k2_w3.25,4154_T130_P125,2.7121,0.0037,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4154_T130_P125,6.466,0.017,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4154_T130_P125,13.787,0.078,MHz^2,"mean over 4 traces, the bar the block scatter. 1 refused",DIAGNOSTIC
k2_w3.25,4154_T130_P175,2.7040,0.0051,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4154_T130_P175,6.4087,0.0091,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4154_T130_P175,13.656,0.025,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w3.25,4154_T130_P225,2.6832,0.0026,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w6,4154_T130_P225,6.3665,0.0062,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w12,4154_T130_P225,13.496,0.039,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
k2_w3.25,4192_T130_P25,2.703,0.011,MHz^2,"mean over 5 traces, the bar the block scatter. 0 refused",DIAGNOSTIC
