quantity,key,value,err,unit,note,status
N_Nesmeyanov,T70,5.6029e+11,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
N_AIH,T70,7.3971e+11,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
N_SMI,T70,6.7306e+11,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
ratio_AIH_over_Nesmeyanov,T70,1.3202,,,the two laws' ratio at this temperature,DIAGNOSTIC
ratio_as_kelvin_AIH,T70,3.55,,K,the temperature offset at which Nesmeyanov's law gives the other's density (ln ratio over d ln N/dT). the laws' disagreement is a thermometry offset of this size between the experiments supporting each,DIAGNOSTIC
ratio_SMI_over_Nesmeyanov,T70,1.2013,,,the two laws' ratio at this temperature,DIAGNOSTIC
ratio_as_kelvin_SMI,T70,2.34,,K,the temperature offset at which Nesmeyanov's law gives the other's density (ln ratio over d ln N/dT). the laws' disagreement is a thermometry offset of this size between the experiments supporting each,DIAGNOSTIC
dlnN_dT,T70,7.61,,per cent per K,the density's sensitivity to the temperature at this set point,DIAGNOSTIC
N_Nesmeyanov,T90,2.4487e+12,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
N_AIH,T90,3.1107e+12,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
N_SMI,T90,2.9283e+12,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
ratio_AIH_over_Nesmeyanov,T90,1.2704,,,the two laws' ratio at this temperature,DIAGNOSTIC
ratio_as_kelvin_AIH,T90,3.45,,K,the temperature offset at which Nesmeyanov's law gives the other's density (ln ratio over d ln N/dT). the laws' disagreement is a thermometry offset of this size between the experiments supporting each,DIAGNOSTIC
ratio_SMI_over_Nesmeyanov,T90,1.1959,,,the two laws' ratio at this temperature,DIAGNOSTIC
ratio_as_kelvin_SMI,T90,2.58,,K,the temperature offset at which Nesmeyanov's law gives the other's density (ln ratio over d ln N/dT). the laws' disagreement is a thermometry offset of this size between the experiments supporting each,DIAGNOSTIC
dlnN_dT,T90,6.78,,per cent per K,the density's sensitivity to the temperature at this set point,DIAGNOSTIC
N_Nesmeyanov,T110,9.0953e+12,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
N_AIH,T110,1.1227e+13,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
N_SMI,T110,1.0896e+13,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
ratio_AIH_over_Nesmeyanov,T110,1.2344,,,the two laws' ratio at this temperature,DIAGNOSTIC
ratio_as_kelvin_AIH,T110,3.40,,K,the temperature offset at which Nesmeyanov's law gives the other's density (ln ratio over d ln N/dT). the laws' disagreement is a thermometry offset of this size between the experiments supporting each,DIAGNOSTIC
ratio_SMI_over_Nesmeyanov,T110,1.1980,,,the two laws' ratio at this temperature,DIAGNOSTIC
ratio_as_kelvin_SMI,T110,2.91,,K,the temperature offset at which Nesmeyanov's law gives the other's density (ln ratio over d ln N/dT). the laws' disagreement is a thermometry offset of this size between the experiments supporting each,DIAGNOSTIC
dlnN_dT,T110,6.08,,per cent per K,the density's sensitivity to the temperature at this set point,DIAGNOSTIC
N_Nesmeyanov,T130,2.9433e+13,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
N_AIH,T130,3.5585e+13,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
N_SMI,T130,3.5495e+13,,cm^-3,number density from the named law at the set point,DIAGNOSTIC
ratio_AIH_over_Nesmeyanov,T130,1.2090,,,the two laws' ratio at this temperature,DIAGNOSTIC
ratio_as_kelvin_AIH,T130,3.41,,K,the temperature offset at which Nesmeyanov's law gives the other's density (ln ratio over d ln N/dT). the laws' disagreement is a thermometry offset of this size between the experiments supporting each,DIAGNOSTIC
ratio_SMI_over_Nesmeyanov,T130,1.2059,,,the two laws' ratio at this temperature,DIAGNOSTIC
ratio_as_kelvin_SMI,T130,3.37,,K,the temperature offset at which Nesmeyanov's law gives the other's density (ln ratio over d ln N/dT). the laws' disagreement is a thermometry offset of this size between the experiments supporting each,DIAGNOSTIC
dlnN_dT,T130,5.48,,per cent per K,the density's sensitivity to the temperature at this set point,DIAGNOSTIC
derived_spread,density_py,24,,per cent,N_SCALE_FRAC_SYST as density.py derives it: the largest displacement an arm makes at the ladder temperatures,DIAGNOSTIC
support_siddons2008,law,"Nesmeyanov (Steck), their appendix A. absolute D-line absorption at room temperature and above",,,absolute absorption in excellent agreement with theory at the measured temperature. no per cent on the density is stated,DIAGNOSTIC
