quantity,key,value,err,unit,note,status
object_distance,along12,28.12,,mm,"1/(1/f - 1/s'), thin lens, the detector in focus",DIAGNOSTIC
magnification,along12,1.778,,,s'/s,DIAGNOSTIC
collected_length,along12,6.75,,mm,the cathode's dimension along the beam over the magnification,DIAGNOSTIC
collected_fraction,along12,0.162,,,"2 arctan(L / 2 z_R) / pi, the ramp's axial weight inside the window. the record's prediction_band cell is the 12 mm reading",DIAGNOSTIC
x_L_over_2zR,along12_w64um,0.261,,,"L / 2 z_R at that waist, z_R 12.95 mm",DIAGNOSTIC
exponent_weak_drive,along12_w64um,-1.914,,,"d ln(integrated I^2) / d ln w0 = -2 x / ((1 + x^2) arctan x): -2 at short windows, 0 once the Rayleigh range sits inside",DIAGNOSTIC
exponent_saturated,along12_w64um,-1.838,,,"the same slope on the strong-drive integral at 225 mW (events_per_s_profile over the collected length), the cascade's saturation carried",DIAGNOSTIC
x_L_over_2zR,along12_w40um,0.667,,,"L / 2 z_R at that waist, z_R 5.06 mm",DIAGNOSTIC
exponent_weak_drive,along12_w40um,-1.570,,,"d ln(integrated I^2) / d ln w0 = -2 x / ((1 + x^2) arctan x): -2 at short windows, 0 once the Rayleigh range sits inside",DIAGNOSTIC
exponent_saturated,along12_w40um,-1.254,,,"the same slope on the strong-drive integral at 225 mW (events_per_s_profile over the collected length), the cascade's saturation carried",DIAGNOSTIC
x_L_over_2zR,along12_w25um,1.708,,,"L / 2 z_R at that waist, z_R 1.98 mm",DIAGNOSTIC
exponent_weak_drive,along12_w25um,-0.838,,,"d ln(integrated I^2) / d ln w0 = -2 x / ((1 + x^2) arctan x): -2 at short windows, 0 once the Rayleigh range sits inside",DIAGNOSTIC
exponent_saturated,along12_w25um,-0.145,,,"the same slope on the strong-drive integral at 225 mW (events_per_s_profile over the collected length), the cascade's saturation carried",DIAGNOSTIC
x_L_over_2zR,along12_w16um,4.169,,,"L / 2 z_R at that waist, z_R 0.81 mm",DIAGNOSTIC
