quantity,key,value,err,unit,status
gamma_coll,4121_130C_125mW_m0.5,0.26917,0.10759,"mult 0.5, realised half-width 9.5 MHz, chi2_red 0.918",DIAGNOSTIC
gamma_coll,4121_130C_125mW_m0.7,0.17083,0.06745,"mult 0.7, realised half-width 13.3 MHz, chi2_red 0.916",DIAGNOSTIC
gamma_coll,4121_130C_125mW_m0.85,0.22313,0.05501,"mult 0.85, realised half-width 16.1 MHz, chi2_red 0.898",DIAGNOSTIC
gamma_coll,4121_130C_125mW_m1.0,0.25948,0.04801,"mult 1.0, realised half-width 19.0 MHz, chi2_red 0.919",DIAGNOSTIC
gamma_coll,4121_130C_125mW_m1.15,0.24229,0.04390,"mult 1.15, realised half-width 21.8 MHz, chi2_red 0.911",DIAGNOSTIC
gamma_coll,4121_130C_125mW_m1.3,0.23083,0.04114,"mult 1.3, realised half-width 24.7 MHz, chi2_red 0.907",DIAGNOSTIC
gamma_drift_sigma,4121_130C_125mW,+0.11,,"(gamma at mult 1.3) minus (at 0.85), in combined sigma, over the wing-safe range only",DIAGNOSTIC
gamma_coll,4121_130C_175mW_m0.5,0.29519,0.10810,"mult 0.5, realised half-width 9.4 MHz, chi2_red 0.881",DIAGNOSTIC
gamma_coll,4121_130C_175mW_m0.7,0.24530,0.06731,"mult 0.7, realised half-width 13.1 MHz, chi2_red 0.862",DIAGNOSTIC
gamma_coll,4121_130C_175mW_m0.85,0.24666,0.05519,"mult 0.85, realised half-width 15.9 MHz, chi2_red 0.862",DIAGNOSTIC
gamma_coll,4121_130C_175mW_m1.0,0.25986,0.04821,"mult 1.0, realised half-width 18.7 MHz, chi2_red 0.860",DIAGNOSTIC
gamma_coll,4121_130C_175mW_m1.15,0.26332,0.04388,"mult 1.15, realised half-width 21.5 MHz, chi2_red 0.853",DIAGNOSTIC
gamma_coll,4121_130C_175mW_m1.3,0.26951,0.04093,"mult 1.3, realised half-width 24.3 MHz, chi2_red 0.861",DIAGNOSTIC
gamma_drift_sigma,4121_130C_175mW,+0.33,,"(gamma at mult 1.3) minus (at 0.85), in combined sigma, over the wing-safe range only",DIAGNOSTIC
gamma_coll,4121_130C_225mW_m0.5,0.14522,0.08129,"mult 0.5, realised half-width 9.3 MHz, chi2_red 0.907",DIAGNOSTIC
gamma_coll,4121_130C_225mW_m0.7,0.19521,0.05071,"mult 0.7, realised half-width 13.1 MHz, chi2_red 0.898",DIAGNOSTIC
gamma_coll,4121_130C_225mW_m0.85,0.21984,0.04184,"mult 0.85, realised half-width 15.9 MHz, chi2_red 0.894",DIAGNOSTIC
gamma_coll,4121_130C_225mW_m1.0,0.23336,0.03678,"mult 1.0, realised half-width 18.7 MHz, chi2_red 0.898",DIAGNOSTIC
gamma_coll,4121_130C_225mW_m1.15,0.23019,0.03364,"mult 1.15, realised half-width 21.5 MHz, chi2_red 0.882",DIAGNOSTIC
gamma_coll,4121_130C_225mW_m1.3,0.21840,0.03154,"mult 1.3, realised half-width 24.3 MHz, chi2_red 0.879",DIAGNOSTIC
gamma_drift_sigma,4121_130C_225mW,-0.03,,"(gamma at mult 1.3) minus (at 0.85), in combined sigma, over the wing-safe range only",DIAGNOSTIC
gamma_coll,4121_130C_25mW_m0.5,0.45218,0.20812,"mult 0.5, realised half-width 8.8 MHz, BELOW THE COMMITTED MIN FLOOR BY DESIGN (wing-clipping diagnostic), chi2_red 0.951",DIAGNOSTIC
gamma_coll,4121_130C_25mW_m0.7,0.59402,0.16437,"mult 0.7, realised half-width 12.3 MHz, chi2_red 0.993",DIAGNOSTIC
gamma_coll,4121_130C_25mW_m0.85,0.48166,0.15192,"mult 0.85, realised half-width 14.9 MHz, chi2_red 0.974",DIAGNOSTIC
gamma_coll,4121_130C_25mW_m1.0,0.42314,0.13784,"mult 1.0, realised half-width 17.6 MHz, chi2_red 0.954",DIAGNOSTIC
gamma_coll,4121_130C_25mW_m1.15,0.25426,0.31417,"mult 1.15, realised half-width 20.2 MHz, chi2_red 0.940",DIAGNOSTIC
gamma_coll,4121_130C_25mW_m1.3,0.28890,0.29511,"mult 1.3, realised half-width 22.8 MHz, chi2_red 0.929",DIAGNOSTIC
gamma_drift_sigma,4121_130C_25mW,-0.58,,"(gamma at mult 1.3) minus (at 0.85), in combined sigma, over the wing-safe range only",DIAGNOSTIC
gamma_coll,4121_130C_75mW_m0.5,0.49808,0.33400,"mult 0.5, realised half-width 9.4 MHz, chi2_red 0.849",DIAGNOSTIC
gamma_coll,4121_130C_75mW_m0.7,0.35868,0.20937,"mult 0.7, realised half-width 13.2 MHz, chi2_red 0.848",DIAGNOSTIC
gamma_coll,4121_130C_75mW_m0.85,0.26676,0.17305,"mult 0.85, realised half-width 16.0 MHz, chi2_red 0.858",DIAGNOSTIC
gamma_coll,4121_130C_75mW_m1.0,0.26524,0.15097,"mult 1.0, realised half-width 18.9 MHz, chi2_red 0.865",DIAGNOSTIC
gamma_coll,4121_130C_75mW_m1.15,0.27811,0.13710,"mult 1.15, realised half-width 21.7 MHz, chi2_red 0.864",DIAGNOSTIC
