quantity,key,value,err,unit,note,status
contrast_isotope,p_sweep_T130_P25,0.07,0.15,MHz,measured width contrast. predicted 0.0112 from the record's terms. pull +0.39,DIAGNOSTIC
contrast_F87,p_sweep_T130_P25,0.11,0.24,MHz,measured width contrast. predicted -0.0001 from the record's terms. pull +0.45,DIAGNOSTIC
contrast_F85,p_sweep_T130_P25,-0.34,0.18,MHz,measured width contrast. predicted -0.0001 from the record's terms. pull -1.89,DIAGNOSTIC
contrast_interaction,p_sweep_T130_P25,0.44,0.30,MHz,measured width contrast. predicted -0.0000 from the record's terms. pull +1.50,DIAGNOSTIC
contrast_isotope,p_sweep_T130_P75,-0.079,0.080,MHz,measured width contrast. predicted 0.0112 from the record's terms. pull -1.14,DIAGNOSTIC
contrast_F87,p_sweep_T130_P75,-0.04,0.14,MHz,measured width contrast. predicted -0.0010 from the record's terms. pull -0.26,DIAGNOSTIC
contrast_F85,p_sweep_T130_P75,0.163,0.079,MHz,measured width contrast. predicted -0.0007 from the record's terms. pull +2.07,DIAGNOSTIC
contrast_interaction,p_sweep_T130_P75,-0.20,0.16,MHz,measured width contrast. predicted -0.0003 from the record's terms. pull -1.25,DIAGNOSTIC
contrast_isotope,p_sweep_T130_P125,0.021,0.052,MHz,measured width contrast. predicted 0.0112 from the record's terms. pull +0.19,DIAGNOSTIC
contrast_F87,p_sweep_T130_P125,0.054,0.075,MHz,measured width contrast. predicted -0.0028 from the record's terms. pull +0.76,DIAGNOSTIC
contrast_F85,p_sweep_T130_P125,-0.029,0.071,MHz,measured width contrast. predicted -0.0019 from the record's terms. pull -0.38,DIAGNOSTIC
contrast_interaction,p_sweep_T130_P125,0.08,0.10,MHz,measured width contrast. predicted -0.0009 from the record's terms. pull +0.81,DIAGNOSTIC
contrast_isotope,p_sweep_T130_P175,-0.012,0.040,MHz,measured width contrast. predicted 0.0112 from the record's terms. pull -0.59,DIAGNOSTIC
contrast_F87,p_sweep_T130_P175,0.116,0.070,MHz,measured width contrast. predicted -0.0055 from the record's terms. pull +1.73,DIAGNOSTIC
contrast_F85,p_sweep_T130_P175,0.016,0.037,MHz,measured width contrast. predicted -0.0037 from the record's terms. pull +0.52,DIAGNOSTIC
contrast_interaction,p_sweep_T130_P175,0.101,0.079,MHz,measured width contrast. predicted -0.0018 from the record's terms. pull +1.29,DIAGNOSTIC
contrast_isotope,p_sweep_T130_P225,-0.063,0.031,MHz,measured width contrast. predicted 0.0112 from the record's terms. pull -2.37,DIAGNOSTIC
contrast_F87,p_sweep_T130_P225,0.130,0.053,MHz,measured width contrast. predicted -0.0091 from the record's terms. pull +2.61,DIAGNOSTIC
contrast_F85,p_sweep_T130_P225,-0.017,0.032,MHz,measured width contrast. predicted -0.0061 from the record's terms. pull -0.32,DIAGNOSTIC
contrast_interaction,p_sweep_T130_P225,0.147,0.062,MHz,measured width contrast. predicted -0.0030 from the record's terms. pull +2.40,DIAGNOSTIC
contrast_isotope,t_sweep_T70_P225,-0.13,0.16,MHz,measured width contrast. predicted 0.0103 from the record's terms. pull -0.88,DIAGNOSTIC
contrast_F87,t_sweep_T70_P225,0.01,0.23,MHz,measured width contrast. predicted -0.0091 from the record's terms. pull +0.09,DIAGNOSTIC
contrast_F85,t_sweep_T70_P225,0.28,0.21,MHz,measured width contrast. predicted -0.0061 from the record's terms. pull +1.37,DIAGNOSTIC
contrast_interaction,t_sweep_T70_P225,-0.27,0.31,MHz,measured width contrast. predicted -0.0030 from the record's terms. pull -0.87,DIAGNOSTIC
