quantity,key,value,unit,status
d_skew,2025_rho1.00_transit,-0.0408,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,2025_rho1.00_transit,0.0017,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,2025_rho1.00_transit,-0.0000,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,2025_rho1.00_transit,0.0163,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,2025_rho1.00_transit,0.0050,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,2025_rho1.00_transit,0.0078,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,2025_rho1.00_tau6s,-0.0771,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,2025_rho1.00_tau6s,0.0020,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,2025_rho1.00_tau6s,-0.0000,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,2025_rho1.00_tau6s,0.0314,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,2025_rho1.00_tau6s,0.0099,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,2025_rho1.00_tau6s,0.0443,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,2025_rho0.94_transit,-0.0408,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,2025_rho0.94_transit,0.0017,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,2025_rho0.94_transit,-0.0000,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,2025_rho0.94_transit,0.0163,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,2025_rho0.94_transit,0.0050,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,2025_rho0.94_transit,0.0078,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,2025_rho0.94_tau6s,-0.0771,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,2025_rho0.94_tau6s,0.0020,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,2025_rho0.94_tau6s,-0.0000,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,2025_rho0.94_tau6s,0.0314,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,2025_rho0.94_tau6s,0.0099,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,2025_rho0.94_tau6s,0.0443,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,2025_rho0.75_transit,-0.0400,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,2025_rho0.75_transit,0.0016,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,2025_rho0.75_transit,-0.0000,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,2025_rho0.75_transit,0.0160,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,2025_rho0.75_transit,0.0050,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,2025_rho0.75_transit,0.0078,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,2025_rho0.75_tau6s,-0.0756,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,2025_rho0.75_tau6s,0.0019,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,2025_rho0.75_tau6s,-0.0000,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,2025_rho0.75_tau6s,0.0308,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,2025_rho0.75_tau6s,0.0099,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,2025_rho0.75_tau6s,0.0443,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,S_rho1.00_transit,-0.1556,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,S_rho1.00_transit,0.0030,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,S_rho1.00_transit,-0.1390,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,S_rho1.00_transit,0.0631,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,S_rho1.00_transit,0.0201,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,S_rho1.00_transit,0.0310,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,S_rho1.00_tau6s,-0.1493,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,S_rho1.00_tau6s,0.0028,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,S_rho1.00_tau6s,-0.1629,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,S_rho1.00_tau6s,0.0663,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,S_rho1.00_tau6s,0.0222,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,S_rho1.00_tau6s,0.0443,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,S_rho0.94_transit,-0.1555,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,S_rho0.94_transit,0.0030,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,S_rho0.94_transit,-0.1389,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,S_rho0.94_transit,0.0630,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,S_rho0.94_transit,0.0201,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
window_frac,S_rho0.94_transit,0.0310,coherence-window axial-speed fraction P(|vz| < (lambda/2)/T_window),DIAGNOSTIC
d_skew,S_rho0.94_tau6s,-0.1492,standardized skew change (with - without fringe),ENVELOPE
d_skew_mc_err,S_rho0.94_tau6s,0.0028,block-to-block standard error on d_skew,DIAGNOSTIC
d_kappa3,S_rho0.94_tau6s,-0.1628,third-cumulant change MHz^3 (with - without fringe),ENVELOPE
excess_var_frac,S_rho0.94_tau6s,0.0662,fraction of the shift variance contributed by the fringe,ENVELOPE
frac_resolved,S_rho0.94_tau6s,0.0222,signal-weighted fraction with fringe survival F > 0.5,ENVELOPE
