quantity,key,value,err,unit,status
kappa_ub95,primary,1.113,,"MHz per W; 95% one-sided profile-likelihood bound on the AC-Stark coefficient, beta_self free (not a prior)",PRELIM
S0_225mW_ub95,primary,0.250,,"MHz, transition axis, at the campaign's maximum power",PRELIM
kappa_min,primary,0.000,,MHz per W; profile minimum -- NOT a detection unless dchi2_kappa0 is large,PRELIM
dchi2_kappa0,primary,0.00,,chi2(kappa=0) - chi2(min),PRELIM
kappa_pred,prediction,1.545,,"MHz per W at w0=64 um, rho=0.94",PRELIM
beta_self_joint,primary,0.0192,,"MHz per 1e12 cm^-3; fitted JOINTLY with kappa over the x53 density lever -- no Stark prior, no transit-derived beta prior, the two coefficients' covariance propagated",PRELIM
sigma_laser,camp70,1.976,,"MHz, transition axis; free per session/temperature block",PRELIM
sigma_laser,camp90,2.191,,"MHz, transition axis; free per session/temperature block",PRELIM
sigma_laser,camp110,2.067,,"MHz, transition axis; free per session/temperature block",PRELIM
sigma_laser,camp130,1.677,,"MHz, transition axis; free per session/temperature block",PRELIM
sigma_laser,reh,2.352,,"MHz, transition axis; free per session/temperature block",PRELIM
sigma_laser,pil,1.489,,"MHz, transition axis; free per session/temperature block",PRELIM
reh_rate,4121,0.01228,,"MHz per ms, transition; fitted rehearsal scan rate",PRELIM
reh_rate,4154,0.01261,,"MHz per ms, transition; fitted rehearsal scan rate",PRELIM
reh_rate,4192,0.01288,,"MHz per ms, transition; fitted rehearsal scan rate",PRELIM
reh_rate,4207,0.01293,,"MHz per ms, transition; fitted rehearsal scan rate",PRELIM
pilot_rate_scale,nuisance,1.0226,,"pilot axis = campaign 4192 rate x this, bounded [0.9,1.1]",PRELIM
n_traces,camp_p/camp_t/reh/pil/ruler,100/59/46/26/61,,404611 points total (4 rehearsal files unusable); rulers enter as five-tooth combs with free tooth amplitudes,PRELIM
profile_point,0.000,214916.78,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,0.250,214916.87,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,0.500,214917.10,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,0.750,214917.72,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,1.000,214918.87,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,1.545,214921.82,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,2.000,214925.90,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,2.620,214934.61,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,3.500,214955.36,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,5.000,215028.76,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
beta_self_min,joint_region,0.0150,,MHz per 1e12 cm^-3; beta at the 2D profile minimum,PRELIM
beta_self_lo95,joint_region,0.0150,,"MHz per 1e12 cm^-3; 1-parameter 95% (dchi2 < 3.841), kappa profiled out at each beta",PRELIM
beta_self_hi95,joint_region,0.0150,,MHz per 1e12 cm^-3; upper edge of the same interval,PRELIM
joint_chi2,k0.000_b0.0050,+1530.380,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0150,+1.044,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0250,+149.922,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0350,+2299.162,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
