quantity,key,value,err,unit,status
kappa_ub95,primary,0.560,,"MHz per W, 95% one-sided profile-likelihood bound on the AC-Stark coefficient, beta_self free (not a prior)",PRELIM
S0_225mW_ub95,primary,0.126,,"MHz, transition axis, at the campaign's maximum power",PRELIM
kappa_min,primary,0.250,,"MHz per W, profile minimum -- NOT a detection unless dchi2_kappa0 is large",PRELIM
dchi2_kappa0,primary,1.64,,chi2(kappa=0) - chi2(min),PRELIM
kappa_pred,prediction,3.241,,"MHz per W at w0=42 um, rho=0.94",PRELIM
beta_self_joint,primary,0.0043,,"MHz per 1e12 cm^-3, fitted JOINTLY with kappa over the x53 density lever -- no Stark prior, no transit-derived beta prior, the two coefficients' covariance propagated",PRELIM
sigma_laser,camp70,0.061,,"MHz, transition axis, free per session/temperature block",PRELIM
sigma_laser,camp90,0.683,,"MHz, transition axis, free per session/temperature block",PRELIM
sigma_laser,camp110,0.730,,"MHz, transition axis, free per session/temperature block",PRELIM
sigma_laser,camp130,0.983,,"MHz, transition axis, free per session/temperature block",PRELIM
sigma_laser,reh,2.222,,"MHz, transition axis, free per session/temperature block",PRELIM
sigma_laser,pil,0.050,,"MHz, transition axis, free per session/temperature block",PRELIM
sigma_laser_sp,camp110_4121,0.702,-0.029,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp110 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp110_4154,0.373,-0.357,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp110 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp110_4192,0.796,+0.066,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp110 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp110_4207,1.051,+0.321,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp110 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp130_4121,0.936,-0.047,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp130 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp130_4154,0.921,-0.062,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp130 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp130_4192,0.897,-0.086,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp130 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp130_4207,1.178,+0.195,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp130 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp70_4121,0.065,+0.003,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp70 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp70_4154,0.050,-0.011,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp70 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp70_4192,0.067,+0.005,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp70 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp70_4207,0.065,+0.003,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp70 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp90_4121,0.838,+0.156,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp90 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp90_4154,0.728,+0.046,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp90 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp90_4192,0.793,+0.110,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp90 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp90_4207,0.372,-0.311,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp90 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,pil_4192,0.050,-0.000,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the pil pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,reh_4121,2.532,+0.310,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the reh pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,reh_4154,2.800,+0.577,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the reh pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,reh_4192,2.083,-0.139,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the reh pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,reh_4207,1.474,-0.748,"MHz, transition axis, per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the reh pooled mean (err column: deviation from that mean)",PRELIM
reh_rate,4121,0.01309,,"MHz per ms, transition, fitted evening-session scan rate",PRELIM
reh_rate,4154,0.01376,,"MHz per ms, transition, fitted evening-session scan rate",PRELIM
reh_rate,4192,0.01317,,"MHz per ms, transition, fitted evening-session scan rate",PRELIM
reh_rate,4207,0.01260,,"MHz per ms, transition, fitted evening-session scan rate",PRELIM
pilot_rate_scale,nuisance,1.0081,,"campaign-morning axis = campaign 4192 rate x this, bounded [0.9,1.1]",PRELIM
n_traces,camp_p/camp_t/reh/pil/ruler,100/59/46/26/61,,"404609 points total (4 evening-session files unusable), rulers enter as five-tooth combs with free tooth amplitudes",PRELIM
profile_point,0.000,336177.97,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,0.250,336176.33,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
