quantity,key,value,err,unit,status
kappa_ub95,primary,0.738,,"MHz per W -- 95% one-sided profile-likelihood bound on the AC-Stark coefficient, beta_self free (not a prior)",PRELIM
S0_225mW_ub95,primary,0.166,,"MHz, transition axis, at the campaign's maximum power",PRELIM
kappa_min,primary,0.000,,MHz per W -- profile minimum -- NOT a detection unless dchi2_kappa0 is large,PRELIM
dchi2_kappa0,primary,0.00,,chi2(kappa=0) - chi2(min),PRELIM
kappa_pred,prediction,3.241,,"MHz per W at w0=42 um, rho=0.94",PRELIM
beta_self_joint,primary,0.0037,,"MHz per 1e12 cm^-3 -- fitted JOINTLY with kappa over the x53 density lever -- no Stark prior, no transit-derived beta prior, the two coefficients' covariance propagated",PRELIM
sigma_laser,camp70,0.472,,"MHz, transition axis -- free per session/temperature block",PRELIM
sigma_laser,camp90,0.877,,"MHz, transition axis -- free per session/temperature block",PRELIM
sigma_laser,camp110,0.863,,"MHz, transition axis -- free per session/temperature block",PRELIM
sigma_laser,camp130,1.047,,"MHz, transition axis -- free per session/temperature block",PRELIM
sigma_laser,reh,2.213,,"MHz, transition axis -- free per session/temperature block",PRELIM
sigma_laser,pil,0.050,,"MHz, transition axis -- free per session/temperature block",PRELIM
sigma_laser_sp,camp110_4121,0.849,-0.015,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp110 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp110_4154,0.718,-0.146,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp110 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp110_4192,0.854,-0.009,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp110 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp110_4207,1.033,+0.170,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp110 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp130_4121,1.029,-0.018,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp130 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp130_4154,0.994,-0.053,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp130 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp130_4192,0.951,-0.096,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp130 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp130_4207,1.212,+0.165,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp130 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp70_4121,0.474,+0.002,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp70 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp70_4154,0.425,-0.047,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp70 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp70_4192,0.508,+0.036,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp70 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp70_4207,0.480,+0.009,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp70 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp90_4121,0.954,+0.077,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp90 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp90_4154,0.875,-0.002,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp90 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp90_4192,0.961,+0.084,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp90 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,camp90_4207,0.718,-0.159,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the camp90 pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,pil_4192,0.050,-0.000,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the pil pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,reh_4121,2.522,+0.309,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the reh pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,reh_4154,2.785,+0.571,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the reh pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,reh_4192,2.075,-0.139,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the reh pooled mean (err column: deviation from that mean)",PRELIM
sigma_laser_sp,reh_4207,1.471,-0.742,"MHz, transition axis -- per-(session,peak) sigma_laser, hierarchical shrinkage prior width 150 kHz toward the reh pooled mean (err column: deviation from that mean)",PRELIM
reh_rate,4121,0.01304,,"MHz per ms, transition -- fitted evening-session scan rate",PRELIM
reh_rate,4154,0.01370,,"MHz per ms, transition -- fitted evening-session scan rate",PRELIM
reh_rate,4192,0.01312,,"MHz per ms, transition -- fitted evening-session scan rate",PRELIM
reh_rate,4207,0.01256,,"MHz per ms, transition -- fitted evening-session scan rate",PRELIM
pilot_rate_scale,nuisance,1.0081,,"campaign-morning axis = campaign 4192 rate x this, bounded [0.9,1.1]",PRELIM
n_traces,camp_p/camp_t/reh/pil/ruler,100/59/46/26/0,,296947 points total (4 evening-session files unusable) -- rulers enter as five-tooth combs with free tooth amplitudes,PRELIM
profile_point,0.000,196945.28,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,0.250,196945.44,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,0.500,196946.45,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,0.750,196948.07,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,1.000,196950.23,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,2.000,196965.21,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,2.620,196982.37,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,3.241,197007.02,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,3.500,197020.33,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
profile_point,5.000,197141.48,,"chi2 at this kappa, beta and all nuisances re-minimized",PRELIM
beta_self_min,joint_region,0.00367,,"MHz per 1e12 cm^-3 -- beta at the 2D profile minimum, on the refined grid of step 0.00004",PRELIM
beta_self_lo95,joint_region,0.00347,,"MHz per 1e12 cm^-3 -- 1-parameter 95% (dchi2 < 3.841), kappa profiled out at each beta, edges interpolated in sqrt(dchi2) on a grid refined until the interval spans it",PRELIM
beta_self_hi95,joint_region,0.00397,,MHz per 1e12 cm^-3 -- upper edge of the same interval,PRELIM
beta_grid_step,joint_region,0.00004,,"MHz per 1e12 cm^-3 -- the spacing the interval above was resolved on, refined down from 0.01000 by the loop of addendum 30 -- quote it whenever the interval is quoted",PRELIM
joint_chi2,k0.000_b0.0012,+198.667,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0037,+1.459,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0062,+374.091,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0086,+1508.049,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0111,+3813.925,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0136,+7447.559,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0161,+12351.816,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.000_b0.0185,+18477.008,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.250_b0.0012,+196.122,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.250_b0.0037,+0.212,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.250_b0.0062,+369.881,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.250_b0.0086,+1508.006,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.250_b0.0111,+3815.436,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.250_b0.0136,+7449.285,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.250_b0.0161,+12355.702,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.250_b0.0185,+18480.942,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.500_b0.0012,+196.719,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.500_b0.0037,+1.041,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.500_b0.0062,+372.109,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.500_b0.0086,+1511.948,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.500_b0.0111,+3822.784,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.500_b0.0136,+7460.185,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.500_b0.0161,+12372.623,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.500_b0.0185,+18499.867,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.750_b0.0012,+197.729,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.750_b0.0037,+2.552,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.750_b0.0062,+375.792,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.750_b0.0086,+1518.817,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.750_b0.0111,+3834.596,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.750_b0.0136,+7479.088,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.750_b0.0161,+12394.525,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k0.750_b0.0185,+18528.046,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k1.000_b0.0012,+199.187,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k1.000_b0.0037,+4.501,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k1.000_b0.0062,+380.439,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k1.000_b0.0086,+1528.280,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k1.000_b0.0111,+3853.796,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k1.000_b0.0136,+7506.560,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k1.000_b0.0161,+12429.982,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
joint_chi2,k1.000_b0.0185,+18570.604,,"dchi2 above the joint minimum on the (kappa, beta) grid -- the confidence REGION, not two separate bounds",PRELIM
