quantity,key,value,err,unit,status
beta_self,85Rb,0.0355,0.0036,MHz per 1e12 cm^-3,BOUND
beta_self,87Rb,0.0360,0.0041,MHz per 1e12 cm^-3,BOUND
sigma_laser,70C,1.478,0.109,MHz transition,BOUND
sigma_laser,90C,1.634,0.061,MHz transition,BOUND
sigma_laser,110C,1.057,0.099,MHz transition,BOUND
chi2_red,global,0.853,,,DIAGNOSTIC
beta_modelform_syst,85Rb,0.0326,,MHz per 1e12 cm^-3 (|Lehmann - Voigt transit|),BOUND
beta_modelform_syst,87Rb,0.0320,,MHz per 1e12 cm^-3 (|Lehmann - Voigt transit|),BOUND
beta_nscale_syst,85Rb,0.0071,,"MHz per 1e12 cm^-3 (density-SCALE systematic: beta ~ 1/N, so the 20% vapor-pressure-correlation spread moves beta by the same fraction; density.py)",BOUND
beta_nscale_syst,87Rb,0.0072,,"MHz per 1e12 cm^-3 (density-SCALE systematic: beta ~ 1/N, so the 20% vapor-pressure-correlation spread moves beta by the same fraction; density.py)",BOUND
noise_floor_limited,global,False,,"chi2_red < 0.8: the errors are set by the conservative noise model (tau inflation), not by the fit residuals",DIAGNOSTIC
params_at_bound,global,none,,"shared parameters pinned at their 0 rail, where the symmetric Gaussian error is one-sided in truth",DIAGNOSTIC
