quantity,key,value,unit,status
wide_gc,0,0.00100,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,1,0.07095,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,2,0.14090,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,3,0.21085,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,4,0.28080,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,5,0.35075,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,6,0.42070,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,7,0.49065,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,8,0.56060,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,9,0.63055,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,10,0.70050,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,11,0.77045,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,12,0.84040,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,13,0.91035,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,14,0.98030,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,15,1.05025,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,16,1.12020,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,17,1.19015,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,18,1.26010,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,19,1.33005,MHz gamma_coll axis,DIAGNOSTIC
wide_gc,20,1.40000,MHz gamma_coll axis,DIAGNOSTIC
wide_sl,0,0.20000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,1,0.33000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,2,0.46000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,3,0.59000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,4,0.72000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,5,0.85000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,6,0.98000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,7,1.11000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,8,1.24000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,9,1.37000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,10,1.50000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,11,1.63000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,12,1.76000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,13,1.89000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,14,2.02000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,15,2.15000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,16,2.28000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,17,2.41000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,18,2.54000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,19,2.67000,MHz sigma_laser axis,DIAGNOSTIC
wide_sl,20,2.80000,MHz sigma_laser axis,DIAGNOSTIC
