node,quantity,mc,model,unit,verdict,note,model_sha,n_atoms,seed,written,status
w34.0_m1.00_r0.940_T110_P225,transit_fwhm_rel,1.57305,1.59876,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,transit_shape_rel,1.00161,1,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,ramp_k2_rel,0.0481987,0.0495486,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,ramp_k3_rel,-0.000604348,-0.000584764,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,amplitude_power_law_abs,1.65364,1.54732,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,shares_abs,0.00222303,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depleted_line_abs,0.00458127,0,,FAIL,the Monte Carlo against the form the fit uses at this node,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depletion_widening_rel_4207,0.0132411,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depletion_widening_rel_4192,0.0145586,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depletion_widening_rel_4154,0.019613,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depletion_widening_rel_4121,0.0208278,,,FAIL,"what a transit fit reads from the surviving kernel after the natural Lorentzian, over the bare one: the factor the fit carries",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depletion_fwhm_rel_4207,0.0969674,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depletion_fwhm_rel_4192,0.103996,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depletion_fwhm_rel_4154,0.129352,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,depletion_fwhm_rel_4121,0.135104,,,FAIL,"the surviving transit kernel's FWHM over the bare collected kernel's, the core-flattening diagnostic",246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,shares_shift_abs,0.00307844,,,FAIL,the largest move of a line's share from the thermal law to the depleted one: the physical shift,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,cycles_on_axis,0.421131,,,FAIL,excitation cycles on the central chord at the mean transverse speed,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
w34.0_m1.00_r0.940_T110_P225,cycles_mean_over_chords,0.067818,,,FAIL,the flux-weighted mean over every chord,246d8f5462db44d2,100000,0,2026-09-18T19:42:55,DIAGNOSTIC
