role,peak,T,P,gamma_coll_gaussian,gamma_coll_lorentzian,gamma_coll_frac_shift,sigma_laser_gaussian,sigma_laser_lorentzian,chi2_red_gaussian,chi2_red_lorentzian,chi2_red_diff,gaussian_arm,n_points,dof,delta_chi2,status
p_sweep,4121,130,125,0.232625,0.110496,-0.525004,0.866075,0.209664,0.919002,0.920025,+0.001023,free,10000,9978,10.2,DIAGNOSTIC
p_sweep,4121,130,175,0.232437,0.092923,-0.600224,0.630234,0.185846,0.860373,0.860627,+0.000254,free,9995,9973,2.5,DIAGNOSTIC
p_sweep,4121,130,225,0.202004,0.079219,-0.607834,0.543855,0.158443,0.898463,0.898508,+0.000045,free,9995,9973,0.4,DIAGNOSTIC
p_sweep,4121,130,25,0.393044,0.092295,-0.765180,0.000001,0.300718,0.953600,0.953597,-0.000003,boundary,9996,9974,-0.0,DIAGNOSTIC
p_sweep,4121,130,75,0.275121,0.172387,-0.373414,1.031318,0.223896,0.864581,0.865743,+0.001163,free,9995,9973,11.6,DIAGNOSTIC
p_sweep,4154,130,125,0.232673,0.115950,-0.501660,1.009593,0.231997,0.869306,0.875511,+0.006204,free,10000,9978,61.9,DIAGNOSTIC
p_sweep,4154,130,175,0.196624,0.098347,-0.499822,0.899886,0.196692,0.977130,0.984527,+0.007397,free,9995,9973,73.8,DIAGNOSTIC
p_sweep,4154,130,225,0.210976,0.109584,-0.480587,0.492523,0.129500,0.995193,0.997183,+0.001991,free,9995,9973,19.9,DIAGNOSTIC
p_sweep,4154,130,25,0.068090,0.196715,1.889061,1.769893,0.254003,0.839215,0.840012,+0.000798,free,9990,9968,8.0,DIAGNOSTIC
p_sweep,4154,130,75,0.142945,0.090724,-0.365320,0.898838,0.146916,0.871029,0.871794,+0.000765,free,10000,9978,7.6,DIAGNOSTIC
p_sweep,4192,130,125,0.159477,0.103063,-0.353744,1.124958,0.206126,0.835925,0.849073,+0.013148,free,9997,9975,131.2,DIAGNOSTIC
p_sweep,4192,130,175,0.212891,0.130424,-0.387369,0.888776,0.178882,0.958494,0.968197,+0.009704,free,9995,9973,96.8,DIAGNOSTIC
p_sweep,4192,130,225,0.221049,0.116035,-0.475072,0.354214,0.116465,1.043670,1.044046,+0.000376,free,9995,9973,3.7,DIAGNOSTIC
p_sweep,4192,130,25,0.329846,0.141346,-0.571479,0.000001,0.188609,0.836030,0.836026,-0.000004,boundary,10000,9978,-0.0,DIAGNOSTIC
p_sweep,4192,130,75,0.295023,0.134576,-0.543844,0.981240,0.269177,0.871908,0.874555,+0.002647,free,9990,9968,26.4,DIAGNOSTIC
p_sweep,4207,130,125,0.262049,0.121485,-0.536405,0.928195,0.242967,0.785616,0.788682,+0.003067,free,10000,9978,30.6,DIAGNOSTIC
p_sweep,4207,130,175,0.241331,0.120314,-0.501458,1.018557,0.243210,0.892169,0.899151,+0.006982,free,9992,9970,69.6,DIAGNOSTIC
p_sweep,4207,130,225,0.250354,0.114302,-0.543437,0.876660,0.228603,0.963383,0.969948,+0.006565,free,9998,9976,65.5,DIAGNOSTIC
p_sweep,4207,130,25,0.285874,0.163331,-0.428661,0.866355,0.210591,0.902622,0.902807,+0.000185,free,9996,9974,1.8,DIAGNOSTIC
p_sweep,4207,130,75,0.279431,0.149323,-0.465618,0.951634,0.233947,0.853364,0.854540,+0.001176,free,10000,9978,11.7,DIAGNOSTIC
t_sweep,4121,110,,0.083418,0.042712,-0.487977,0.538036,0.071371,0.811394,0.811390,-0.000004,free,10000,9978,-0.0,DIAGNOSTIC
t_sweep,4121,70,,0.202418,0.089787,-0.556428,0.000001,0.112635,0.782824,0.782822,-0.000002,boundary,9996,9974,-0.0,DIAGNOSTIC
t_sweep,4121,90,,0.035556,0.037288,0.048703,0.813486,0.074625,0.823122,0.823757,+0.000635,free,9995,9973,6.3,DIAGNOSTIC
t_sweep,4154,110,,0.054340,0.017490,-0.678141,0.493726,0.067401,0.778510,0.778828,+0.000318,free,10000,9978,3.2,DIAGNOSTIC
t_sweep,4154,70,,0.000000,0.000000,-0.640411,0.000001,0.000000,0.826744,0.826743,-0.000001,boundary,7992,7974,-0.0,DIAGNOSTIC
t_sweep,4154,90,,0.072048,0.039084,-0.457531,0.902552,0.131302,0.861438,0.863288,+0.001851,free,9990,9968,18.4,DIAGNOSTIC
t_sweep,4192,110,,0.095425,0.055635,-0.416981,0.750163,0.111270,0.907051,0.909854,+0.002803,free,9995,9973,28.0,DIAGNOSTIC
t_sweep,4192,70,,0.040679,0.026060,-0.359368,0.499388,0.037831,0.846040,0.846173,+0.000133,free,10000,9978,1.3,DIAGNOSTIC
t_sweep,4192,90,,0.117354,0.071452,-0.391140,0.876321,0.137750,0.826873,0.828541,+0.001668,free,9995,9973,16.6,DIAGNOSTIC
t_sweep,4207,110,,0.116786,0.067856,-0.418974,0.857147,0.135710,0.850355,0.853506,+0.003151,free,9995,9973,31.4,DIAGNOSTIC
t_sweep,4207,70,,0.047280,0.024692,-0.477761,0.369057,0.039792,0.934480,0.934500,+0.000020,free,9996,9974,0.2,DIAGNOSTIC
t_sweep,4207,90,,0.000000,0.000000,-0.998799,0.000001,0.000000,0.927397,0.927398,+0.000001,boundary,10000,9978,0.0,DIAGNOSTIC
