quantity,key,value,err,unit,status
beta_crosscheck,85Rb,0.0433,0.0035,"MHz per 1e12 cm^-3 (HEADLINE: cooling sweep, Lehmann exp, per_T)",BOUND
beta_err_modelform,85Rb,0.0115,,model-form grid spread (max-min),BOUND
beta_err_transit,85Rb,0.0115,,transit axis (|Voigt - Lehmann|),BOUND
beta_err_sharing,85Rb,0.0007,,sigma-sharing axis (|per_T - per_block|),BOUND
beta_w0_band,85Rb,0.0419,0.0455,"value=lo err=hi over transit_ref 0.92-1.49 (~w0 65-40 um, the OPEN w0)",BOUND
beta_loo_peak,85Rb,0.0056,,largest |dbeta| dropping one PEAK -- robustness (peak 4192),DIAGNOSTIC
beta_loo_temp,85Rb,0.1043,,largest |dbeta| dropping one TEMPERATURE -- lever leverage (110 C),DIAGNOSTIC
beta_lever_probe_130,85Rb,0.0164,-0.0269,value=joint beta with the x53 130C lever. Err=shift vs x16 cooling (lever-dependence),BOUND
beta_crosscheck,87Rb,0.0433,0.0038,"MHz per 1e12 cm^-3 (HEADLINE: cooling sweep, Lehmann exp, per_T)",BOUND
beta_err_modelform,87Rb,0.0129,,model-form grid spread (max-min),BOUND
beta_err_transit,87Rb,0.0113,,transit axis (|Voigt - Lehmann|),BOUND
beta_err_sharing,87Rb,0.0016,,sigma-sharing axis (|per_T - per_block|),BOUND
beta_w0_band,87Rb,0.0420,0.0455,"value=lo err=hi over transit_ref 0.92-1.49 (~w0 65-40 um, the OPEN w0)",BOUND
beta_loo_peak,87Rb,0.0032,,largest |dbeta| dropping one PEAK -- robustness (peak 4207),DIAGNOSTIC
beta_loo_temp,87Rb,0.0578,,largest |dbeta| dropping one TEMPERATURE -- lever leverage (110 C),DIAGNOSTIC
beta_lever_probe_130,87Rb,0.0181,-0.0252,value=joint beta with the x53 130C lever. Err=shift vs x16 cooling (lever-dependence),BOUND
beta_grid_exp_per_T,85Rb,0.0433,0.0035,chi2_red=0.857,PRELIM
beta_grid_exp_per_T,87Rb,0.0433,0.0038,chi2_red=0.857,PRELIM
beta_grid_gaussian_per_T,85Rb,0.0548,0.0035,chi2_red=0.863,PRELIM
beta_grid_gaussian_per_T,87Rb,0.0546,0.0038,chi2_red=0.863,PRELIM
