quantity,window_mhz,value,err,note,status
snr_mu2,3.25,2608,75,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 2.75243, per-trace sd 0.001055. Pooled over 101 traces it reaches 2.621e+04.",DIAGNOSTIC
snr_mu3,3.25,0.0562,0.0016,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -9.55346e-05, per-trace sd 0.001699. Pooled over 101 traces it reaches 0.5651.",DIAGNOSTIC
snr_mu4,3.25,1710,49,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 15.7466, per-trace sd 0.009207. Pooled over 101 traces it reaches 1.719e+04.",DIAGNOSTIC
snr_mu5,3.25,0.0404,0.0012,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -0.000770386, per-trace sd 0.01909. Pooled over 101 traces it reaches 0.4056.",DIAGNOSTIC
snr_mu6,3.25,1351,39,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 112.539, per-trace sd 0.08328. Pooled over 101 traces it reaches 1.358e+04.",DIAGNOSTIC
snr_mu7,3.25,0.02949,0.00085,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -0.00569728, per-trace sd 0.1932. Pooled over 101 traces it reaches 0.2964.",DIAGNOSTIC
snr_mu8,3.25,1148,33,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 894.459, per-trace sd 0.779. Pooled over 101 traces it reaches 1.154e+04.",DIAGNOSTIC
snr_mu9,3.25,0.02223,0.00064,"ADMITTED by the likelihood, BELOW the retired SNR floor of 3. Mean -0.0428363, per-trace sd 1.927. Pooled over 101 traces it reaches 0.2234.",DIAGNOSTIC
snr_mu4/mu2,3.25,4.07e+03,,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 5.72098, per-trace sd 0.001406. Pooled over 101 traces it reaches 4.089e+04. Its standard error is 1.2e+02, outside the plain-decimal band.",DIAGNOSTIC
snr_mu5/mu3,3.25,0.1321,0.0038,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 15.214, per-trace sd 115.2. Pooled over 101 traces it reaches 1.327.",DIAGNOSTIC
snr_mu6/mu4,3.25,5e+03,,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 7.14688, per-trace sd 0.001429. Pooled over 101 traces it reaches 5.026e+04. Its standard error is 1.4e+02, outside the plain-decimal band.",DIAGNOSTIC
snr_mu7/mu5,3.25,0.2672,0.0077,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 9.22544, per-trace sd 34.52. Pooled over 101 traces it reaches 2.686.",DIAGNOSTIC
snr_mu8/mu6,3.25,5.81e+03,,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 7.94797, per-trace sd 0.001368. Pooled over 101 traces it reaches 5.839e+04. Its standard error is 1.7e+02, outside the plain-decimal band.",DIAGNOSTIC
snr_mu9/mu7,3.25,0.706,0.020,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean 9.66951, per-trace sd 13.7. Pooled over 101 traces it reaches 7.094.",DIAGNOSTIC
snr_diag_k5/mu3,3.25,0.1069,0.0031,"REFUSED by the likelihood, BELOW the retired SNR floor of 3. Mean -12.3104, per-trace sd 115.2. Pooled over 101 traces it reaches 1.074.",DIAGNOSTIC
snr_mu2,6,2526,73,"ADMITTED by the likelihood, ABOVE the retired SNR floor of 3. Mean 6.64228, per-trace sd 0.00263. Pooled over 101 traces it reaches 2.539e+04.",DIAGNOSTIC
