gamma_l_mhz,noise_level,scope,scope_mode,window_mhz,resolve_shift,order,s0_mhz,k_median,k_se_median,frac_negative,n_traces,k_quiet,frac_wrong_sign,snr_true,traces_to_3sigma,status,note
0,0.004,rtm3004,hires,3.25,true,3,0.364,2.768182e-05,8.368e-06,0.492,40000,2.301769e-05,0.492,2.751,4.758e+04,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,3,0.5,6.626037e-05,8.382e-06,0.481,40000,5.932222e-05,0.481,7.077,7.188e+03,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,3,0.73,1.943673e-04,8.377e-06,0.441,40000,1.859978e-04,0.441,22.205,7.302e+02,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,3,1,4.831244e-04,8.374e-06,0.359,40000,4.825477e-04,0.359,57.624,1.084e+02,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,3,2,3.597862e-03,8.315e-06,0.003,40000,3.597297e-03,0.003,432.651,1.923e+00,DIAGNOSTIC,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,5,0.364,-3.932287e-04,1.343e-04,0.508,40000,-3.884805e-04,0.492,2.894,4.300e+04,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,5,0.5,-1.066549e-03,1.348e-04,0.520,40000,-1.003169e-03,0.480,7.444,6.497e+03,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,5,0.73,-3.310780e-03,1.348e-04,0.560,40000,-3.133666e-03,0.440,23.254,6.658e+02,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,5,1,-8.229862e-03,1.355e-04,0.647,40000,-8.162573e-03,0.353,60.261,9.914e+01,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,5,2,-6.150115e-02,1.367e-04,0.998,40000,-6.159941e-02,0.002,450.780,1.772e+00,DIAGNOSTIC,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,7,0.364,1.286394e-02,4.026e-03,0.492,40000,1.179127e-02,0.492,2.929,4.197e+04,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,7,0.5,3.187506e-02,4.046e-03,0.479,40000,3.047735e-02,0.479,7.533,6.345e+03,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,7,0.73,9.984997e-02,4.053e-03,0.439,40000,9.527370e-02,0.439,23.508,6.515e+02,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.004,rtm3004,hires,3.25,true,7,1,2.510986e-01,4.090e-03,0.351,40000,2.489782e-01,0.351,60.868,9.717e+01,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
