gamma_l_mhz,noise_level,scope,scope_mode,window_mhz,resolve_shift,order,s0_mhz,k_median,k_se_median,frac_negative,n_traces,k_quiet,frac_wrong_sign,snr_true,traces_to_3sigma,status,note
0,0.002,lecroy_ws3104z,raw,3.25,false,3,0.18,-2.599791e-05,2.680e-05,0.508,2000,-2.254739e-06,0.492,0.084,2.544e+06,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,3,0.364,4.215195e-06,2.617e-05,0.498,2000,-2.488666e-05,0.501,0.951,1.991e+04,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,3,0.73,-2.334500e-04,2.705e-05,0.594,2000,-2.107892e-04,0.406,7.792,2.964e+02,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,3,1,-5.577056e-04,2.740e-05,0.708,2000,-5.410512e-04,0.292,19.743,4.618e+01,DIAGNOSTIC,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,3,2,-4.070406e-03,2.636e-05,1.000,2000,-4.084883e-03,0.000,154.945,7.497e-01,DIAGNOSTIC,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,5,0.18,-3.609857e-04,3.076e-04,0.511,2000,-1.609874e-05,0.488,0.052,6.572e+06,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,5,0.364,6.758189e-05,3.031e-04,0.497,2000,-2.288834e-04,0.503,0.755,3.156e+04,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,5,0.73,-2.230147e-03,3.146e-04,0.580,2000,-2.013476e-03,0.420,6.399,4.396e+02,NULL,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,5,1,-5.407672e-03,3.189e-04,0.679,2000,-5.206403e-03,0.321,16.324,6.755e+01,DIAGNOSTIC,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
0,0.002,lecroy_ws3104z,raw,3.25,false,5,2,-4.017165e-02,3.058e-04,1.000,2000,-3.998949e-02,0.000,130.769,1.053e+00,DIAGNOSTIC,"one rung of the ladder: the median windowed cumulant of this order over n_traces twin traces, its standard error as a median, the fraction of traces returning a negative value, the same estimator's value on a noiseless trace of this rung (k_quiet), the fraction of traces whose sign differs from k_quiet's (the fifth order's true sign is negative), and the quiet value over the standard error, and the trace count at which the median would stand three standard errors from zero, n (3 se / k_quiet)^2. The status is DIAGNOSTIC when frac_wrong_sign is below 0.35, which under a coin flip sits 13 standard deviations below one half at two thousand traces and 60 at forty thousand"
