scope,quantity,value,err,temperatures_C,note,status
peak_4121,floor_exponent,0.173,0.014,"70,90,110",log-log slope of the signal-independent noise term against density,DIAGNOSTIC
peak_4121,floor_over_sqrt_height_exponent,-0.30,0.10,"70,90,110",the same for the floor divided by the square root of the line height,DIAGNOSTIC
peak_4154,floor_exponent,0.478,0.071,"70,90,110",log-log slope of the signal-independent noise term against density,DIAGNOSTIC
peak_4154,floor_over_sqrt_height_exponent,-0.12,0.14,"70,90,110",the same for the floor divided by the square root of the line height,DIAGNOSTIC
peak_4192,floor_exponent,0.67,0.15,"70,90,110",log-log slope of the signal-independent noise term against density,DIAGNOSTIC
peak_4192,floor_over_sqrt_height_exponent,0.05,0.16,"70,90,110",the same for the floor divided by the square root of the line height,DIAGNOSTIC
peak_4207,floor_exponent,0.40,0.12,"70,90,110",log-log slope of the signal-independent noise term against density,DIAGNOSTIC
peak_4207,floor_over_sqrt_height_exponent,-0.216,0.095,"70,90,110",the same for the floor divided by the square root of the line height,DIAGNOSTIC
pooled,floor_exponent,0.431,0.065,all,"one exponent shared across the peaks, each centred on its own mean. The per-peak values run 0.17 to 0.67",DIAGNOSTIC
pooled,floor_over_sqrt_height_exponent,-0.147,0.057,all,one exponent shared across the peaks. The per-peak values run -0.30 to 0.05. Flat means trapping does not set the floor,DIAGNOSTIC
