role,peak,temperature_C,power_mW,n_traces,a_V,b_V,c,used_c,chi2_red,white_ratio,tau_int,rho1,sigma_wing_direct_V,status
p_sweep,4121,130,125,5,2.820643e-03,9.227598e-04,0.000000e+00,False,18.16,0.940,1.45,0.081,3.059712e-03,DIAGNOSTIC
p_sweep,4121,130,175,5,3.646987e-03,1.038645e-03,0.000000e+00,False,17.24,0.919,2.42,0.088,4.026968e-03,DIAGNOSTIC
p_sweep,4121,130,225,5,5.479247e-03,9.995141e-04,0.000000e+00,False,17.67,0.931,2.29,0.063,6.195263e-03,DIAGNOSTIC
p_sweep,4121,130,25,5,1.340115e-03,8.916049e-04,0.000000e+00,False,18.36,0.881,1.58,0.096,1.296198e-03,DIAGNOSTIC
p_sweep,4121,130,75,5,2.005532e-03,1.020172e-03,0.000000e+00,False,11.21,0.892,4.71,0.110,2.101955e-03,DIAGNOSTIC
p_sweep,4154,130,125,5,4.341016e-03,1.011250e-03,0.000000e+00,False,21.89,0.928,1.63,0.100,4.801368e-03,DIAGNOSTIC
p_sweep,4154,130,175,5,8.415369e-03,9.043641e-04,0.000000e+00,False,16.76,0.964,1.73,0.067,9.219247e-03,DIAGNOSTIC
p_sweep,4154,130,225,5,1.228179e-02,8.666449e-04,0.000000e+00,False,17.83,0.951,1.33,0.092,1.359173e-02,DIAGNOSTIC
p_sweep,4154,130,25,5,1.477265e-03,1.037936e-03,0.000000e+00,False,20.58,0.829,1.87,0.101,1.360746e-03,DIAGNOSTIC
p_sweep,4154,130,75,5,2.569253e-03,1.075073e-03,0.000000e+00,False,11.07,0.902,2.61,0.088,2.698302e-03,DIAGNOSTIC
p_sweep,4192,130,125,5,6.375597e-03,1.035974e-03,0.000000e+00,False,21.65,0.900,19.81,0.235,6.479808e-03,DIAGNOSTIC
p_sweep,4192,130,175,5,1.081495e-02,9.583207e-04,0.000000e+00,False,38.52,0.925,4.33,0.116,1.159776e-02,DIAGNOSTIC
p_sweep,4192,130,225,5,1.554173e-02,9.347924e-04,0.000000e+00,False,19.43,0.972,4.30,0.087,1.743188e-02,DIAGNOSTIC
p_sweep,4192,130,25,5,1.573103e-03,9.866859e-04,0.000000e+00,False,8.63,0.869,1.74,0.085,1.517223e-03,DIAGNOSTIC
p_sweep,4192,130,75,5,3.129420e-03,9.366314e-04,0.000000e+00,False,8.18,0.911,5.98,0.132,3.226778e-03,DIAGNOSTIC
p_sweep,4207,130,125,5,3.632225e-03,1.287146e-03,-8.508465e-04,True,4.44,0.931,6.25,0.145,3.887851e-03,DIAGNOSTIC
p_sweep,4207,130,175,5,6.006436e-03,9.743154e-04,0.000000e+00,False,17.40,0.936,9.16,0.121,6.532477e-03,DIAGNOSTIC
p_sweep,4207,130,225,5,9.376539e-03,9.337217e-04,0.000000e+00,False,14.99,0.950,2.76,0.109,1.031238e-02,DIAGNOSTIC
p_sweep,4207,130,25,5,1.415022e-03,7.984483e-04,0.000000e+00,False,7.20,0.924,2.39,0.060,1.408740e-03,DIAGNOSTIC
p_sweep,4207,130,75,5,2.232189e-03,1.008855e-03,0.000000e+00,False,9.61,0.891,7.00,0.130,2.327865e-03,DIAGNOSTIC
t_sweep,4121,110,,5,2.475584e-03,1.161909e-03,0.000000e+00,False,12.75,0.903,4.14,0.102,2.686476e-03,DIAGNOSTIC
t_sweep,4121,70,,5,1.542710e-03,1.151722e-03,0.000000e+00,False,17.61,0.855,2.73,0.102,1.439278e-03,DIAGNOSTIC
t_sweep,4121,90,,5,1.917796e-03,9.642147e-04,0.000000e+00,False,25.08,0.904,3.78,0.080,1.965721e-03,DIAGNOSTIC
t_sweep,4154,110,,5,5.816623e-03,1.144320e-03,0.000000e+00,False,28.83,0.849,14.08,0.219,5.816009e-03,DIAGNOSTIC
t_sweep,4154,70,,4,1.573243e-03,1.093084e-03,0.000000e+00,False,16.32,0.868,3.81,0.095,1.549143e-03,DIAGNOSTIC
t_sweep,4154,90,,5,2.652456e-03,9.664795e-04,0.000000e+00,False,22.81,0.908,8.31,0.119,2.897469e-03,DIAGNOSTIC
t_sweep,4192,110,,5,1.056499e-02,1.114945e-03,0.000000e+00,False,3.79,0.933,6.40,0.140,1.097086e-02,DIAGNOSTIC
t_sweep,4192,70,,5,1.676244e-03,1.011349e-03,0.000000e+00,False,14.43,0.883,1.73,0.091,1.675253e-03,DIAGNOSTIC
t_sweep,4192,90,,5,3.128754e-03,1.048736e-03,0.000000e+00,False,12.44,0.912,4.00,0.134,3.355789e-03,DIAGNOSTIC
t_sweep,4207,110,,5,4.458799e-03,9.832068e-04,0.000000e+00,False,13.49,0.912,6.60,0.141,4.741297e-03,DIAGNOSTIC
t_sweep,4207,70,,5,1.484300e-03,1.024817e-03,0.000000e+00,False,30.13,0.910,1.31,0.049,1.534081e-03,DIAGNOSTIC
t_sweep,4207,90,,5,2.017617e-03,9.236971e-04,0.000000e+00,False,16.37,0.876,5.75,0.111,2.001879e-03,DIAGNOSTIC
