scope,quantity,value,unit,note,status
excluded_4154_130_125,sigma_over_lsb,13.5,LSB,"baseline noise in units of the true quantisation step, over 8 traces. Lattice fraction 0.91, peak 2695 LSB, 11.4 bits of range",DIAGNOSTIC
excluded_4154_130_125,quantisation_noise_inflation,0.023,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
excluded_4154_130_225,sigma_over_lsb,63.6,LSB,"baseline noise in units of the true quantisation step, over 6 traces. Lattice fraction 0.85, peak 2227 LSB, 11.1 bits of range",DIAGNOSTIC
excluded_4154_130_225,quantisation_noise_inflation,0.001,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
excluded_4154_130_25,sigma_over_lsb,73.2,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.92, peak 1790 LSB, 10.8 bits of range",DIAGNOSTIC
excluded_4154_130_25,quantisation_noise_inflation,0.001,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4121_130_125,sigma_over_lsb,33.4,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.36, peak 4398 LSB, 12.1 bits of range",DIAGNOSTIC
p_sweep_4121_130_125,quantisation_noise_inflation,0.004,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4121_130_175,sigma_over_lsb,7.3,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.85, peak 1353 LSB, 10.4 bits of range",DIAGNOSTIC
p_sweep_4121_130_175,quantisation_noise_inflation,0.078,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4121_130_225,sigma_over_lsb,6.1,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.95, peak 1254 LSB, 10.3 bits of range",DIAGNOSTIC
p_sweep_4121_130_225,quantisation_noise_inflation,0.112,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4121_130_25,sigma_over_lsb,39.6,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.01, peak 663 LSB, 9.4 bits of range",DIAGNOSTIC
p_sweep_4121_130_25,quantisation_noise_inflation,0.003,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4121_130_75,sigma_over_lsb,52.4,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.01, peak 4217 LSB, 12.0 bits of range",DIAGNOSTIC
p_sweep_4121_130_75,quantisation_noise_inflation,0.002,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4154_130_125,sigma_over_lsb,26.1,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.02, peak 5209 LSB, 12.3 bits of range",DIAGNOSTIC
p_sweep_4154_130_125,quantisation_noise_inflation,0.006,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4154_130_175,sigma_over_lsb,6.4,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.89, peak 1313 LSB, 10.4 bits of range",DIAGNOSTIC
p_sweep_4154_130_175,quantisation_noise_inflation,0.102,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4154_130_225,sigma_over_lsb,5.5,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 1.00, peak 1271 LSB, 10.3 bits of range",DIAGNOSTIC
p_sweep_4154_130_225,quantisation_noise_inflation,0.140,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4154_130_25,sigma_over_lsb,64.2,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.00, peak 1586 LSB, 10.6 bits of range",DIAGNOSTIC
p_sweep_4154_130_25,quantisation_noise_inflation,0.001,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4154_130_75,sigma_over_lsb,36.8,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.02, peak 4468 LSB, 12.1 bits of range",DIAGNOSTIC
p_sweep_4154_130_75,quantisation_noise_inflation,0.003,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4192_130_125,sigma_over_lsb,26.9,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.47, peak 4949 LSB, 12.3 bits of range",DIAGNOSTIC
p_sweep_4192_130_125,quantisation_noise_inflation,0.006,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4192_130_175,sigma_over_lsb,38.5,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.79, peak 5334 LSB, 12.4 bits of range",DIAGNOSTIC
p_sweep_4192_130_175,quantisation_noise_inflation,0.003,per cent,"how much the quantiser adds to the analogue noise, in quadrature at LSB over root twelve",DIAGNOSTIC
p_sweep_4192_130_225,sigma_over_lsb,5.2,LSB,"baseline noise in units of the true quantisation step, over 5 traces. Lattice fraction 0.94, peak 1444 LSB, 10.5 bits of range",DIAGNOSTIC
