session,peak,T,bracket,delta_ms,delta_err_ms,rate,rate_err,block_chi2_red,n,n_fallback,skipped,n_outlier,delta_ms_all,delta_err_ms_all,rate_all,block_chi2_red_all,status
P,4121,130,after,147.4580842296483,0.3292224637892151,0.0423849260801895,9.463075466186006e-05,0.5923402809862707,6,0,0,0,147.4580842296483,0.3292224637892151,0.0423849260801895,0.5923402809862707,CALIB
P,4121,130,before,146.44193249319062,0.19570226178283143,0.04267903252567783,5.7035461454092445e-05,0.5794420360011372,5,0,0,0,146.44193249319062,0.19570226178283143,0.04267903252567783,0.5794420360011372,CALIB
P,4154,130,after,147.9356887458848,0.2346708647658106,0.04224808802381609,6.70182796004105e-05,1.600096161093452,5,0,0,0,147.9356887458848,0.2346708647658106,0.04224808802381609,1.600096161093452,CALIB
P,4154,130,before,147.95454007029753,0.19334498548796408,0.04224270507029012,5.520219382863826e-05,0.11242434842621811,7,0,0,0,147.95454007029753,0.19334498548796408,0.04224270507029012,0.11242434842621811,CALIB
P,4192,130,after,147.53838974326717,0.20168273548301224,0.04236185585918132,5.7908012854712915e-05,2.1167169918317463,5,0,0,0,147.53838974326717,0.20168273548301224,0.04236185585918132,2.1167169918317463,CALIB
P,4192,130,before,146.95574386483594,0.10641202528267862,0.04252981091877907,3.079623290477985e-05,1.4265355482638717,6,0,0,0,146.95574386483594,0.10641202528267862,0.04252981091877907,1.4265355482638717,CALIB
P,4207,130,after,144.74522855587293,0.27939292534387083,0.04317931625350569,8.334641219457052e-05,0.19271177904711917,5,0,0,0,144.74522855587293,0.27939292534387083,0.04317931625350569,0.19271177904711917,CALIB
P,4207,130,before,146.3485004917862,0.33571251941609087,0.04270627972953355,9.796501306615509e-05,2.5151264428005793,5,0,0,0,146.3485004917862,0.33571251941609087,0.04270627972953355,2.5151264428005793,CALIB
T,4121,110,,147.34834394063884,0.7366977655271402,0.04241649300461695,0.0002120698121357074,0.004967311151528685,4,0,0,1,147.05237292021644,0.6520339585669818,0.04250186430783371,0.18998661568940634,CALIB
T,4121,70,,146.08350480185328,2.1827489399901014,0.04278374898300434,0.0006392657601426234,0.0333355002553429,5,0,0,0,146.08350480185328,2.1827489399901014,0.04278374898300434,0.0333355002553429,CALIB
T,4121,90,,148.6187601624149,0.6597058921838419,0.04205391024100738,0.0001866736900849152,0.03538905526449812,5,0,0,0,148.6187601624149,0.6597058921838419,0.04205391024100738,0.03538905526449812,CALIB
T,4154,110,,146.90154236006495,0.2880776361130121,0.04254550292386213,8.343280616825806e-05,0.49986494471816956,5,0,0,0,146.90154236006495,0.2880776361130121,0.04254550292386213,0.49986494471816956,CALIB
T,4154,70,,146.21560041696122,2.1663595118101813,0.0427450968445019,0.0006333198842549238,0.08946034003004606,5,0,0,0,146.21560041696122,2.1663595118101813,0.0427450968445019,0.08946034003004606,CALIB
T,4154,90,,146.2581096475756,0.5998692410000048,0.04273267318345654,0.00017526560605924153,0.02599174020941286,4,0,0,1,145.7531959239478,0.5168769407237438,0.04288070639124217,0.7071669753579582,CALIB
T,4192,110,,146.75798858454314,0.39666969718042544,0.042587119517514725,0.00011510800853656808,6.118115431897929,5,0,0,0,146.75798858454314,0.39666969718042544,0.042587119517514725,6.118115431897929,CALIB
T,4192,70,,146.78954913914822,0.4699414920812056,0.0425779630542727,0.0001363118260451622,0.13895910821520566,4,0,1,0,146.78954913914822,0.4699414920812056,0.0425779630542727,0.13895910821520566,CALIB
T,4192,90,,145.76644578583998,0.42514341434552744,0.042876808625645565,0.00012505479376322625,0.3921677273391878,5,0,0,0,145.76644578583998,0.42514341434552744,0.042876808625645565,0.3921677273391878,CALIB
T,4207,110,,146.068080496919,0.5165121582447485,0.04278826680502473,0.00015130383010326215,0.05311403735632054,4,0,0,1,146.52419606146964,0.4500609599642523,0.04265507109404653,0.8495879657891552,CALIB
T,4207,70,,146.25878295545036,1.736364361893929,0.0427324764619689,0.0005073141436342639,0.03918700371908663,5,0,0,0,146.25878295545036,1.736364361893929,0.0427324764619689,0.03918700371908663,CALIB
T,4207,90,,145.47378599424232,0.6099177447554052,0.04296306690091483,0.0001801282388637269,0.2797896010867397,6,0,0,0,145.47378599424232,0.6099177447554052,0.04296306690091483,0.2797896010867397,CALIB
