quantity,key,value,err,unit,note,status
sobol,S1_power,0.428,0.032,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,ST_power,0.653,0.049,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,S1_n_line,0.118,0.017,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,ST_n_line,0.253,0.014,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,S1_eta,0.102,0.014,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,ST_eta,0.223,0.012,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,S1_repeats,0.0485,0.0068,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,ST_repeats,0.1140,0.0063,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,S1_tau,0.0285,0.0040,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,ST_tau,0.0688,0.0038,fraction_of_variance,"CALCULATED: exact closed form for the product-of-independent-factors model (docstring derivation). The err is the fitted floor exponent's se propagated through it. Knob ranges as stated in the docstring, one line each with its provenance. Cross-checked against Saltelli/Jansen MC (mc_max_z row). Re-derive with scripts/run_sobol_acquisition.py",ENVELOPE
sobol,sum_S1,0.7250,0.0099,fraction_of_variance,"first-order shares, exact. One minus this is interaction",ENVELOPE
sobol,interaction_share,0.2750,0.0099,fraction_of_variance,"1 - sum_S1. On the log scale the model is additive and first-order shares sum to one: this is a property of the linear variance metric, not of the apparatus",ENVELOPE
model,p_floor_fit,0.85,0.11,exponent,log-log slope of the committed p_sweep floors vs power. The err is the se from the fit covariance,ENVELOPE
check,mc_max_z,2.0,,sigma,"single_valued: the criterion is the largest |exact - MC| over the bootstrap sigma across all ten indices, and the ten are recomputed on every run. Past ~4 the sampler or model wiring broke",ENVELOPE
run,n_base,8192,,samples,cross-check sample size,ENVELOPE
run,seed,20260831,,,cross-check seed,ENVELOPE
