file,stage,role,peak,T,power_mW,bracket,trimmed,trim_start_ms,trim_end_ms,trim_reason,removed,removed_reason,status
p_sweep/4121nm_125mw1.csv,qc,p_sweep,4121,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_125mw2.csv,qc,p_sweep,4121,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_125mw3.csv,qc,p_sweep,4121,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_125mw4.csv,qc,p_sweep,4121,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_125mw5.csv,qc,p_sweep,4121,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_175mw1.csv,qc,p_sweep,4121,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_175mw2.csv,qc,p_sweep,4121,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_175mw3.csv,qc,p_sweep,4121,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_175mw4.csv,qc,p_sweep,4121,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_175mw5.csv,qc,p_sweep,4121,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_225mw1.csv,qc,p_sweep,4121,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_225mw2.csv,qc,p_sweep,4121,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_225mw3.csv,qc,p_sweep,4121,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_225mw4.csv,qc,p_sweep,4121,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_225mw5.csv,qc,p_sweep,4121,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_025mw1.csv,qc,p_sweep,4121,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_025mw2.csv,qc,p_sweep,4121,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_025mw3.csv,qc,p_sweep,4121,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_025mw4.csv,qc,p_sweep,4121,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_025mw5.csv,qc,p_sweep,4121,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_075mw1.csv,qc,p_sweep,4121,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_075mw2.csv,qc,p_sweep,4121,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_075mw3.csv,qc,p_sweep,4121,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_075mw4.csv,qc,p_sweep,4121,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4121nm_075mw5.csv,qc,p_sweep,4121,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_125mw1.csv,qc,p_sweep,4154,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_125mw2.csv,qc,p_sweep,4154,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_125mw3.csv,qc,p_sweep,4154,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_125mw4.csv,qc,p_sweep,4154,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_125mw5.csv,qc,p_sweep,4154,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_175mw1.csv,qc,p_sweep,4154,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_175mw2.csv,qc,p_sweep,4154,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_175mw3.csv,qc,p_sweep,4154,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_175mw4.csv,qc,p_sweep,4154,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_175mw5.csv,qc,p_sweep,4154,130,175,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_225mw1.csv,qc,p_sweep,4154,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_225mw2.csv,qc,p_sweep,4154,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_225mw3.csv,qc,p_sweep,4154,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_225mw4.csv,qc,p_sweep,4154,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_225mw5.csv,qc,p_sweep,4154,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_025mw1.csv,qc,p_sweep,4154,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_025mw2.csv,qc,p_sweep,4154,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_025mw3.csv,qc,p_sweep,4154,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_025mw4.csv,qc,p_sweep,4154,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_025mw5.csv,qc,p_sweep,4154,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_075mw1.csv,qc,p_sweep,4154,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_075mw2.csv,qc,p_sweep,4154,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_075mw3.csv,qc,p_sweep,4154,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_075mw4.csv,qc,p_sweep,4154,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4154nm_075mw5.csv,qc,p_sweep,4154,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_125mw1.csv,qc,p_sweep,4192,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_125mw2.csv,qc,p_sweep,4192,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_125mw3.csv,qc,p_sweep,4192,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_125mw4.csv,qc,p_sweep,4192,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_125mw5.csv,qc,p_sweep,4192,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_175mw1.csv,qc,p_sweep,4192,130,175,,1,-435.5,502.0,"sustained positive residual, upper tail",0,,DIAGNOSTIC
p_sweep/4192nm_175mw2.csv,qc,p_sweep,4192,130,175,,1,-389.0,563.5,"sustained positive residual, lower tail",0,,DIAGNOSTIC
p_sweep/4192nm_175mw3.csv,qc,p_sweep,4192,130,175,,1,-385.0,563.5,"sustained positive residual, lower tail",0,,DIAGNOSTIC
p_sweep/4192nm_175mw4.csv,qc,p_sweep,4192,130,175,,1,-435.5,510.49999999999994,"sustained positive residual, upper tail",0,,DIAGNOSTIC
p_sweep/4192nm_175mw5.csv,qc,p_sweep,4192,130,175,,1,-379.5,563.5,"sustained positive residual, lower tail",0,,DIAGNOSTIC
p_sweep/4192nm_225mw1.csv,qc,p_sweep,4192,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_225mw2.csv,qc,p_sweep,4192,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_225mw3.csv,qc,p_sweep,4192,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_225mw4.csv,qc,p_sweep,4192,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_225mw5.csv,qc,p_sweep,4192,130,225,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_025mw1.csv,qc,p_sweep,4192,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_025mw2.csv,qc,p_sweep,4192,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_025mw3.csv,qc,p_sweep,4192,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_025mw4.csv,qc,p_sweep,4192,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_025mw5.csv,qc,p_sweep,4192,130,25,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_075mw1.csv,qc,p_sweep,4192,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_075mw2.csv,qc,p_sweep,4192,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_075mw3.csv,qc,p_sweep,4192,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_075mw4.csv,qc,p_sweep,4192,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4192nm_075mw5.csv,qc,p_sweep,4192,130,75,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4207nm_125mw1.csv,qc,p_sweep,4207,130,125,,0,nan,nan,,0,,DIAGNOSTIC
p_sweep/4207nm_125mw2.csv,qc,p_sweep,4207,130,125,,0,nan,nan,,0,,DIAGNOSTIC
