quantity,key,value,err,unit,note,status
sweep_x0,median_bar_um,0.3055,,um,"the median over realisations of the vertex's delta-chi2 = 1 half-width at this level, whitened at the level's own scale",DIAGNOSTIC
sweep_x0,bias_um,-0.0001,,um,the mean recovered waist minus the truth over the interior realisations at this level,DIAGNOSTIC
sweep_x0,interior_fraction,1.000,,,"1 of 1 realisations found an INTERIOR minimum at 0 times each condition's own noise law. bias -0.000 um, coverage 1.00, median bar 0.305 um, chi2_red 0.000. Verdicts: interior",DIAGNOSTIC
chi2_x0,w0_41um,28.4,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42um,2.0,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.0363um,1.6,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.0988um,1.1,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.1613um,0.6,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.2238um,0.3,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.2863um,0.1,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.3488um,0.0,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.4113um,0.0,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.4738um,0.1,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.5363um,0.2,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.5988um,0.4,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.6613um,0.6,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.7238um,0.9,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_42.7863um,1.3,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_44um,19.4,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_46um,86.7,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_48um,187.0,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_52um,442.4,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
chi2_x0,w0_56um,722.2,,whitened chi2,"realisation 0 at 0 times the law, mixed arm, truth 42.38 um",DIAGNOSTIC
noise_where_the_waist_dies,largest_scale_still_localised,0,,,"the largest multiple of the archive's own noise law at which at least half the realisations still return an INTERIOR minimum in w0. Above it the profile rails and the waist is not localised at all. This is a CAMPAIGN LEVER and not a reading of the past: it gives the noise reduction this estimator would need to measure the waist. Localised at [0.0], railed at []",ENVELOPE
rung_noiseless,verdict,PASS,,,"at x0 of the law: 1 of 1 interior, max|rel| 2.775e-06, coverage 1.00 against a nominal 0.68, chi2_red 0.000. ",CALIB
real_arm_reached,boolean,False,,,"THE RULE MADE MECHANICAL (owner, 2026-09-15 and 2026-09-16): the real traces are reachable only through rb5s6s.ladder_gate.real_traces, which raises until the noiseless, low and archive rungs are recorded and all read PASS. REFUSED: real traces refused for 'ultra_joint_waist': the low rung has no artefact (private/cache/plan_2026-09-16/.ladder/ultra_joint_waist/low.json): run it before the real traces. the archive rung has no artefact (private/cache/plan_2026-09-16/.ladder/ultra_joint_waist/archive.json): run it before the real traces. The synthetic ladder comes first: noiseless, then 0.3 of the archive's ",CALIB
closure_verdict,waist_recovered,False,,,"PASS on every rung is what licenses a waist from this fit. Anything else and every w0 in results/ultra_joint_fit.csv is conditional and none is a measurement (register A274, A276)",CALIB
