row_kind,sessions,sigma_l_arm,power_scale_arm,form,m2,depletion_cycles,propagation,peak,w0_um,w0_err_parabola_um,bound_kind,w0_bound95_um,w0_lo_um,w0_hi_um,w0_lo_overdispersed_um,w0_hi_overdispersed_um,w0_shift_um,chi2,dchi2,chi2_red,n_eff,n_traces,start_spread_chi2,chi2_red_by_session,session_verdicts,nfev,beta_rel,beta_rel_err_hessian,sigma_l_shared,sigma_l_shared_err_hessian,sigma_l_P,sigma_l_P_err_hessian,sigma_l_T,sigma_l_T_err_hessian,sigma_l_E,sigma_l_E_err_hessian,sigma_l_M,sigma_l_M_err_hessian,sigma_l_Q,sigma_l_Q_err_hessian,omega_scale,omega_scale_err_hessian,gamma_l,gamma_l_err_hessian,lograte_E_4121,lograte_E_4121_err_hessian,lograte_E_4154,lograte_E_4154_err_hessian,lograte_E_4192,lograte_E_4192_err_hessian,lograte_E_4207,lograte_E_4207_err_hessian,power_scale_P,power_scale_P_err_hessian,power_scale_T,power_scale_T_err_hessian,power_scale_E,power_scale_E_err_hessian,power_scale_M,power_scale_M_err_hessian,power_scale_Q,power_scale_Q_err_hessian,beta_khz_per_1e12,beta_err_khz_hessian,beta_pull_vs_theory_hessian,beta_fixed_rel,dchi2_beta_0,dchi2_beta_theory,dchi2_beta_5x,dchi2_beta_20x,beta_profile_1sigma_hi_khz,beta_profile_ub95_khz,omega_scale_pull,s0_225_mhz,omega_225_mhz,transit_130_mhz,transit_130_depleted_mhz,z_ratio,licensed,w0_licence_edge_um,power_ratio_pred,power_ratio_pred_fitted_omega,power_ratio_meas,power_ratio_bar,power_arm_pull,power_arm_refused,power_arm_pooled_pull,power_arm_pooled_refused,power_lo_w,power_hi_w,width_slope_per_w,width_slope_err_lsq_per_w,width_slope_sign,noise_a_v,noise_b_v,noise_tau_int,at_bound,seconds,note,status
grid,PT,session,False,gaussian,1,0,,,40,,,,,,,,,76000,86,0.90,86000,159,0.027,P:0.905 T:0.885,"P:WING-LAW(core +0, wing -18) T:WING-LAW(core -5, wing -12)",240,1.402,0.034,,,0.2001,0.0075,0.43,0.13,,,,,,,0.025,0.031,0,,,,,,,,,,,,,,,,,,,,4.90,0.12,3.6,,610,90,10000,200000,4.9,4.9,-4.9,0.92,0.029,1.5,1.5,0.67,False,40,1.0841,1.0075,0.9956,0.0188,4.7,True,4.7,True,,,,,,,,,sigma_l_P,820,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.667 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.5320 to 1.5320 MHz). the _err_hessian bars are conditional, every other parameter pinned, at a bound: sigma_l_P. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +4.72, pooled over 1 sessions refused at pull +4.72. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.011 MHz",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,40,,,,,,,,,77000,610,0.90,86000,159,0.027,P:0.905 T:0.885,"P:WING-LAW(core +0, wing -18) T:WING-LAW(core -5, wing -12)",240,0,,,,0.70,,0.20,,,,,,,,0.42,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-2.9,0.92,0.48,1.5,1.5,0.67,False,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,820,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,40,,,,,,,,,77000,90,0.90,86000,159,0.027,P:0.905 T:0.885,"P:WING-LAW(core +0, wing -18) T:WING-LAW(core -5, wing -12)",240,1.0,,,,0.37,,0.36,,,,,,,,0.19,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-4.1,0.92,0.22,1.5,1.5,0.67,False,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,820,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,40,,,,,,,,,87000,10000,0.90,86000,159,0.027,P:0.905 T:0.885,"P:WING-LAW(core +0, wing -18) T:WING-LAW(core -5, wing -12)",240,5.0,,,,0.20,,0.28,,,,,,,,0.0012,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-5.0,0.92,0.0014,1.5,1.5,0.67,False,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,820,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,40,,,,,,,,,280000,200000,0.90,86000,159,0.027,P:0.905 T:0.885,"P:WING-LAW(core +0, wing -18) T:WING-LAW(core -5, wing -12)",240,20,,,,0.20,,0.20,,,,,,,,0.00030,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.92,0.00034,1.5,1.5,0.67,False,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,820,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
grid,PT,session,False,gaussian,1,0,,,42,,,,,,,,,76000,0,0.90,86000,159,0.22,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,2.095,0.034,,,0.466,0.031,0.913,0.054,,,,,,,0.071,0.042,0,,,,,,,,,,,,,,,,,,,,7.33,0.12,9.8,,860,260,6000,190000,7.3,7.3,-4.6,0.84,0.074,1.5,1.5,0.60,True,40,1.0695,1.0065,0.9956,0.0188,3.9,True,3.9,True,,,,,,,,,,300,"the whitened profile likelihood over 159 traces of sessions PT at this waist with beta_self, the laser widths (session), the Omega scale (prior 1 +- 0.2) refit from 2 starts, gamma_l pinned at zero, Delta_alpha pinned at -1131.8 a.u. and rho at 0.94, the density law Steck, the collection window on at z_ratio 0.605 (M2 1), depletion at 0 cycles through companion_transit_mhz (transit at 130 C 1.4590 to 1.4590 MHz). the _err_hessian bars are conditional, every other parameter pinned. the dchi2_beta columns are the beta profile, chi2 with beta pinned at 0, theory, 5x and 20x theory and everything else refit, above the free minimum. the power-arm check reads the model's width ratio across each session's ladder at the TIED Omega (scale 1) with everything else fitted: P against the archive's 0.9956 +- 0.0188, refused at pull +3.94, pooled over 1 sessions refused at pull +3.94. centres profiled per trace and re-profiled after each inner fit, outer passes [1, 1], last centre move 0.009 MHz",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,42,,,,,,,,,77000,860,0.90,86000,159,0.22,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,0,,,,0.99,,0.41,,,,,,,,0.60,,0,,,,,,,,,,,,,,,,,,,,0,,,0,,,,,,,-2.0,0.84,0.63,1.5,1.5,0.60,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,300,"beta_self pinned at 0 times theory (0.00 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,42,,,,,,,,,77000,260,0.90,86000,159,0.22,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,1.0,,,,0.82,,0.74,,,,,,,,0.41,,0,,,,,,,,,,,,,,,,,,,,3.5,,,1.0,,,,,,,-3.0,0.84,0.42,1.5,1.5,0.60,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,300,"beta_self pinned at 1 times theory (3.50 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,42,,,,,,,,,82000,6000,0.90,86000,159,0.22,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,5.0,,,,0.20,,0.66,,,,,,,,0.0029,,0,,,,,,,,,,,,,,,,,,,,17,,,5.0,,,,,,,-5.0,0.84,0.0030,1.5,1.5,0.60,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,300,"beta_self pinned at 5 times theory (17.49 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
beta_profile,PT,session,False,gaussian,1,0,,,42,,,,,,,,,260000,190000,0.90,86000,159,0.22,P:0.901 T:0.886,"P:WING-LAW(core -0, wing -19) T:WING-LAW(core -5, wing -12)",138,20,,,,0.20,,0.22,,,,,,,,0.00077,,0,,,,,,,,,,,,,,,,,,,,70,,,20,,,,,,,-5.0,0.84,0.00080,1.5,1.5,0.60,True,40,,,0.9956,0.0188,,False,,False,,,,,,,,,,300,"beta_self pinned at 20 times theory (69.94 kHz per 1e12 cm^-3) with everything else refit warm from the free minimum at this waist: dchi2 is against the free minimum, and the dchi2_beta columns of the grid row read every point against the lowest of the free and the fixed fits. the summary reads the profile these rows make and never a Hessian bar at a rail",DIAGNOSTIC
