case,quantity,value,err,unit,basis,note,status
P_4121_25mW_130C,k2@12,13.75,0.82,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 14.1437 at the same window, so the pull is -1.35. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k2@3.25,2.71,0.16,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 2.70689 at the same window, so the pull is +0.00. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k2@6,6.65,0.23,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 6.39372 at the same window, so the pull is +3.10. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k3@12,-1.4,8.5,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 1.3208e-06 at the same window, so the pull is -0.44. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k3@3.25,0.020,0.054,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -2.48485e-06 at the same window, so the pull is +1.02. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k3@6,-0.22,0.91,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 3.16627e-06 at the same window, so the pull is -0.67. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k4@12,179,70,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 208.003 at the same window, so the pull is -1.16. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k4@3.25,-6.6,1.5,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -6.63386 at the same window, so the pull is +0.13. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k4@6,-17.2,4.6,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -15.365 at the same window, so the pull is -1.09. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k5@12,4,180,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 6.87811e-05 at the same window, so the pull is +0.06. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k5@3.25,-0.53,0.67,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts 3.32032e-05 at the same window, so the pull is -2.17. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
P_4121_25mW_130C,k5@6,7,26,MHz^n,"5 repeats, the bar on the mean at the two-sided 95 per cent t-factor 2.776","this fit predicts -5.19437e-05 at the same window, so the pull is +0.77. The statistic is compared against its own forward prediction and is not an estimator of an untruncated cumulant",DIAGNOSTIC
