row_kind,magnification,w0_um,transit_fwhm_mhz,s0_mhz,rabi_hz,z_ratio,k2_over_pure,k3_over_pure,k3_one_photon_over_two,cycles_rel,rate_rel,signal_rel,line_fwhm_mhz,peak_rel,term,fitted_exponent,predicted_exponent,status,note
rung,1.000000,42.380,1.445930,0.820762,1026003.347,0.594191,0.883314,0.614785,0.311016,1.000000,1.000000,1.000000,5.4900,1.000000,,,,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
rung,0.625000,26.488,2.313488,2.101152,2626568.569,1.521129,0.969419,-0.327025,3.681135,4.096000,6.553600,1.845110,6.7860,1.492728,,,,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
rung,0.390625,16.555,3.701580,5.378949,6724015.537,3.894091,1.219628,-1.002892,1.829026,16.777216,42.949673,2.460990,9.3440,1.445937,,,,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
rung,0.250000,10.595,5.783720,13.132200,16416053.558,9.507058,1.322329,-1.318351,1.028113,64.000000,256.000000,2.734368,14.8020,1.014166,,,,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
exponent,,,,,,,,,,,,,,,transit_fwhm_mhz,-1.000000,-1.0,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
exponent,,,,,,,,,,,,,,,s0_mhz,-2.000000,-2.0,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
exponent,,,,,,,,,,,,,,,rabi_hz,-2.000000,-2.0,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
exponent,,,,,,,,,,,,,,,z_ratio,-2.000000,-2.0,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
exponent,,,,,,,,,,,,,,,cycles_rel,-3.000000,-3.0,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
exponent,,,,,,,,,,,,,,,rate_rel,-4.000000,-4.0,DIAGNOSTIC,"the analytic waist ladder at fixed power and retro ratio, each term from the package function that owns it. signal_rel is the closed form (2 P^2 / lambda) arctan(L / zR) normalised to the anchor, and peak_rel divides it by the COMPOSITE line width, which is what a peak height is measured against and is not the transit alone. k2_over_pure and k3_over_pure are the ramp's cumulants through the axial collection window against the pure ramp, and the third reverses sign where the window passes about one Rayleigh range. The exponent rows fit d ln term / d ln magnification across the ladder and compare it against the derivation of docs/methods/03. k3_one_photon_over_two is the same window applied to a one-photon ramp against the two-photon one: the one-photon null holds only as the window shrinks, since the transverse law is uniform at each slice and the axial mixture of uniforms with different upper limits is not."
