case,quantity,value,err,unit,basis,note,status
P_4121_125mW_130C,mu2@0.5,0.0826466,,MHz^2,"estimator on the archive grid against the direct truncated moment 0.0826466 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 5.57e-08. the bare model's truncated moment is 0.0826502, so the strip baseline's bias at this window is -3.622e-06 (-0.00438 per cent)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
P_4121_125mW_130C,mu3@0.5,-1.17066e-08,,MHz^3,"estimator on the archive grid against the direct truncated moment -7.09657e-06 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 2.98e-04. the bare model's truncated moment is -7.12489e-06, so the strip baseline's bias at this window is +7.113e-06 (+0.000299 in units of k2^(n/2), the odd orders of a symmetric line being zero)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
P_4121_125mW_130C,mu4@0.5,0.0123532,,MHz^4,"estimator on the archive grid against the direct truncated moment 0.0123532 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 9.87e-06. the bare model's truncated moment is 0.012354, so the strip baseline's bias at this window is -8.139e-07 (-0.00659 per cent)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
P_4121_125mW_130C,mu5@0.5,-3.78592e-09,,MHz^5,"estimator on the archive grid against the direct truncated moment -1.40809e-06 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 7.15e-04. the bare model's truncated moment is -1.41553e-06, so the strip baseline's bias at this window is +1.412e-06 (+0.000719 in units of k2^(n/2), the odd orders of a symmetric line being zero)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
P_4121_125mW_130C,mu6@0.5,0.0022016,,MHz^6,"estimator on the archive grid against the direct truncated moment 0.00220163 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 5.99e-05. the bare model's truncated moment is 0.00220178, so the strip baseline's bias at this window is -1.813e-07 (-0.00823 per cent)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
P_4121_125mW_130C,mu7@0.5,-1.01819e-09,,MHz^7,"estimator on the archive grid against the direct truncated moment -3.13428e-07 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 1.93e-03. the bare model's truncated moment is -3.15505e-07, so the strip baseline's bias at this window is +3.145e-07 (+0.00194 in units of k2^(n/2), the odd orders of a symmetric line being zero)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz. REFUSED from the vector: unresolved at the archive's sampling",DIAGNOSTIC
P_4121_125mW_130C,mu2@1,0.32279,,MHz^2,"estimator on the archive grid against the direct truncated moment 0.322787 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 8.78e-06. the bare model's truncated moment is 0.322846, so the strip baseline's bias at this window is -5.584e-05 (-0.0173 per cent)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
P_4121_125mW_130C,mu3@1,-2.32645e-07,,MHz^3,"estimator on the archive grid against the direct truncated moment -2.7729e-06 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 1.39e-05. the bare model's truncated moment is -2.73844e-06, so the strip baseline's bias at this window is +2.506e-06 (+1.37e-05 in units of k2^(n/2), the odd orders of a symmetric line being zero)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
P_4121_125mW_130C,mu4@1,0.191039,,MHz^4,"estimator on the archive grid against the direct truncated moment 0.191037 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 2.18e-05. the bare model's truncated moment is 0.191087, so the strip baseline's bias at this window is -4.761e-05 (-0.0249 per cent)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
P_4121_125mW_130C,mu5@1,-2.74102e-07,,MHz^5,"estimator on the archive grid against the direct truncated moment -4.09995e-06 of the same de-baselined line on a 10x finer grid, both self-centred, scaled error 6.46e-05. the bare model's truncated moment is -4.0123e-06, so the strip baseline's bias at this window is +3.738e-06 (+6.31e-05 in units of k2^(n/2), the odd orders of a symmetric line being zero)","noiseless, truth 42.38 um at the prior means, mixed form, strips (28.0, 36.0) MHz",DIAGNOSTIC
